,distance,TICKER,y,Effective_Duration,wkil
125,-0.16093439,COLOM,0.562163063,0.505873308,4.00E-14
127,-0.16093439,COLOM,0.56051192,0.505873468,4.00E-14
317,-1.324706071,UKRGB,1.950013238,0.559152995,0
276,-0.896646335,ARGENT,2.025220502,0.579079352,0
347,-0.874476365,LEBGB,1.396422509,0.585570596,0
220,-0.487825743,BRAZIL,0.418244212,0.791060505,1.36E-117
31,0.125375313,MEX,0.66029558,0.791788725,9.41E-08
177,-0.126983984,URUGUA,0.380429537,0.795685373,2.65E-10
116,-0.16093439,COLOM,0.365818033,0.815410169,5.28E-13
278,-0.896646335,ARGENT,2.17130345,0.902144271,0
100,-0.052041931,INDOGB,0.519503853,0.929102048,0.090712013
85,-0.052041931,INDOGB,0.391608447,0.929111926,0.090712013
252,-2.283613148,VENZ,-0.072177707,0.949847412,0
341,-0.874476365,LEBGB,1.461794737,0.95424027,0
257,-2.283613148,VENZ,0.588836805,0.97565313,0
52,-0.231913603,RFLB,0.765600882,0.992784151,1.09E-26
61,-0.231913603,RFLB,0.765600882,0.992784151,1.09E-26
131,-0.338162709,CROTB,1.104962735,1.035662853,9.99E-57
136,-0.338162709,CROTB,1.104962735,1.035662853,9.99E-57
160,-0.126983984,URUGUA,0.016358374,1.072818566,0
319,-1.324706071,UKRGB,1.928853893,1.079468713,0
88,-0.052041931,INDOGB,0.56945468,1.103556148,0.094340493
292,-0.926028232,PAKGB,1.170479866,1.12705389,0
297,-0.926028232,PAKGB,1.170479866,1.12705389,0
250,-2.283613148,VENZ,0.811220654,1.130049322,0
249,-0.75212386,JAMAN,0.280212695,1.157510554,0
179,-0.351029032,SATB,0.681380575,1.178107164,3.91E-62
280,-0.896646335,ARGENT,2.170009065,1.189886059,0
148,-0.251167346,TURKGB,0.805112985,1.242083296,3.12E-31
350,-0.874476365,LEBGB,1.598215145,1.467259838,0
279,-0.896646335,ARGENT,2.148683184,1.476188272,0
320,-1.324706071,UKRGB,1.950992456,1.619038619,0
71,-0.052041931,INDOGB,1.083121175,1.712369981,0.172352824
102,-0.052041931,INDOGB,1.139534606,1.712390907,0.172352824
169,-0.126983984,URUGUA,1.54299096,1.807854438,1.50E-10
170,-0.126983984,URUGUA,0.442400452,1.809426411,0
22,0.022999177,HIBTB,1.169905854,1.839940108,0.773774725
151,-0.251167346,TURKGB,1.443419928,1.863584243,3.12E-31
277,-0.896646335,ARGENT,2.056043055,1.935111246,0
241,-0.75212386,JAMAN,1.39184971,2.05957775,6.51E-280
343,-0.874476365,LEBGB,1.724224372,2.081784505,0
46,-0.231913603,RFLB,1.632991605,2.095692154,1.88E-26
55,-0.231913603,RFLB,1.632991605,2.095692154,1.88E-26
17,0,PANAMA,1.731445851,2.100441641,1.96098372
10,0,PANAMA,1.716254009,2.100490316,1.96098372
12,0,PANAMA,1.715747469,2.100491926,1.96098372
264,-2.283613148,VENZ,2.302591032,2.148466522,0
268,-2.283613148,VENZ,2.294204012,2.14927235,0
274,-0.896646335,ARGENT,1.898804754,2.37460331,0
345,-0.874476365,LEBGB,1.688748031,2.442812894,0
263,-2.283613148,VENZ,2.483424458,2.444478718,0
202,0.749454969,RPGB,1.181997644,2.506881368,7.12E-278
69,-0.052041931,INDOGB,1.38054559,2.596253759,0.181424025
73,-0.052041931,INDOGB,1.355524948,2.596445492,0.181424025
225,-0.487825743,BRAZIL,1.167488585,2.603328828,1.16E-117
59,-0.231913603,RFLB,1.625756101,2.676498142,8.15E-27
49,-0.231913603,RFLB,1.625654964,2.676696029,8.15E-27
108,0.023304969,PERUGB,1.015802708,2.69656894,0
294,-0.926028232,PAKGB,1.578536986,2.710036461,0
298,-0.926028232,PAKGB,1.578303958,2.710607842,0
149,-0.251167346,TURKGB,1.586720548,2.722035464,2.08E-31
118,-0.16093439,COLOM,1.450549808,2.732661515,6.40E-13
174,-0.126983984,URUGUA,1.035812662,2.750442475,0
173,-0.126983984,URUGUA,1.016089279,2.750530496,0
33,0.125375313,MEX,0.974988135,2.777319537,0
323,-0.874476365,LEBGB,1.670374773,2.798404976,0
25,0.022999177,HIBTB,1.503545022,2.849096143,0.835838458
346,-0.874476365,LEBGB,1.680868484,2.852243744,0
186,-0.351029032,SATB,1.612162184,2.852687649,5.56E-61
212,0.749454969,RPGB,1.19887894,2.869107513,1.02E-277
248,-0.75212386,JAMAN,1.680555829,2.878351236,2.13E-280
175,-0.126983984,URUGUA,0.058421217,3.010814928,0
190,0.449060377,POLAND,1.457267118,3.010998478,1.80E-99
13,0,PANAMA,1.677137225,3.034595605,0.711789571
308,-1.324706071,UKRGB,-0.91977464,3.038011791,0
307,-1.324706071,UKRGB,1.832096078,3.049056418,0
309,-1.324706071,UKRGB,1.827059445,3.049363148,0
230,-0.487825743,BRAZIL,1.294336339,3.056963867,4.74E-118
260,-2.283613148,VENZ,2.373227032,3.058538287,0
217,-0.487825743,BRAZIL,1.681212114,3.157177027,1.39E-118
147,-0.251167346,TURKGB,1.638748371,3.175013253,2.08E-31
134,-0.338162709,CROTB,1.691048376,3.200627212,9.99E-57
113,-0.16093439,COLOM,1.704946715,3.311124995,2.55E-13
27,0.125375313,MEX,0.477532107,3.312892294,0
348,-0.874476365,LEBGB,1.679276238,3.314515011,0
171,-0.126983984,URUGUA,1.355540004,3.399483997,2.14E-10
172,-0.126983984,URUGUA,0.785733186,3.406810624,0
211,0.749454969,RPGB,1.304781141,3.437795498,6.70E-278
19,0.022999177,HIBTB,1.703656303,3.462963879,2.135468163
34,0.125375313,MEX,1.30329823,3.485757317,6.55E-08
9,0,PANAMA,1.303759415,3.52176447,2.959623994
342,-0.874476365,LEBGB,1.720310837,3.542720109,0
325,-0.874476365,LEBGB,1.736521032,3.565775919,0
180,-0.351029032,SATB,1.738517068,3.602099807,5.56E-61
67,-0.052041931,INDOGB,1.516726655,3.60305236,0.181424025
74,-0.052041931,INDOGB,1.498948671,3.603292152,0.181424025
139,-0.251167346,TURKGB,1.691081363,3.664163916,2.77E-31
63,-0.231913603,RFLB,1.695058881,3.684116676,1.90E-26
53,-0.231913603,RFLB,1.694920126,3.684521276,1.90E-26
324,-0.874476365,LEBGB,1.753787389,3.723042825,0
273,-0.896646335,ARGENT,1.835867602,3.769092251,0
300,-1.324706071,UKRGB,1.793432819,3.787214032,0
138,-0.338162709,CROTB,1.752227027,3.78748239,8.32E-57
310,-1.324706071,UKRGB,1.78919003,3.787730512,0
128,-0.338162709,CROTB,1.752003081,3.788153921,8.32E-57
316,-1.324706071,UKRGB,-0.873135329,4.00986585,0
262,-2.283613148,VENZ,2.184270323,4.038224,0
233,0.695497744,CHILBT,1.401922463,4.043196108,1.94E-239
258,-2.283613148,VENZ,2.251234762,4.063125631,0
339,-0.874476365,LEBGB,1.77421481,4.110824955,0
333,-0.874476365,LEBGB,1.768947222,4.111502111,0
87,-0.052041931,INDOGB,1.65349627,4.276642683,0.0022678
20,0.022999177,HIBTB,1.781990211,4.285458376,3.243749109
224,-0.487825743,BRAZIL,1.775818911,4.317530166,1.78E-117
145,-0.251167346,TURKGB,1.760049178,4.339864831,2.77E-31
3,0,PANAMA,1.940767237,4.369030599,1.312492614
275,-0.896646335,ARGENT,1.962609796,4.372545923,0
132,-0.338162709,CROTB,1.80556713,4.376973819,9.99E-57
137,-0.338162709,CROTB,1.793946732,4.377048206,9.99E-57
209,0.749454969,RPGB,1.4178313,4.404517283,1.45E-277
239,-0.75212386,JAMAN,1.939551859,4.444215703,2.17E-280
39,0.125375313,MEX,1.564823978,4.454292045,3.41E-08
301,-1.324706071,UKRGB,1.772778612,4.466634987,0
311,-1.324706071,UKRGB,1.769070329,4.467411235,0
192,0.449060377,POLAND,1.770405199,4.468479319,1.03E-99
83,-0.052041931,INDOGB,1.678870251,4.518141443,0.226780031
66,-0.052041931,INDOGB,1.666607972,4.518580469,0.226780031
168,-0.126983984,URUGUA,1.487352263,4.733556451,1.21E-08
120,-0.16093439,COLOM,1.744382535,4.744448501,6.40E-13
234,0.695497744,CHILBT,1.558567612,5.056614232,1.47E-239
302,-1.324706071,UKRGB,1.754205599,5.090844773,0
312,-1.324706071,UKRGB,1.750861713,5.09192268,0
270,-2.283613148,VENZ,2.102517033,5.119346805,0
185,-0.351029032,SATB,1.797169193,5.206472475,2.78E-61
51,-0.231913603,RFLB,1.742398098,5.234369518,1.09E-26
62,-0.231913603,RFLB,1.742398098,5.234369518,1.09E-26
140,-0.251167346,TURKGB,1.823980712,5.245449934,1.39E-31
193,0.449060377,POLAND,1.879936813,5.285047967,1.54E-99
344,-0.874476365,LEBGB,1.739237221,5.334381242,0
5,0,PANAMA,1.821824703,5.346820713,0.274061182
28,0.125375313,MEX,1.716243065,5.351830709,2.08E-08
104,-0.052041931,INDOGB,1.795853855,5.401072511,0.181424025
1,0,PANAMA,1.934959736,5.403175328,2.691357756
89,-0.052041931,INDOGB,1.754029314,5.403194489,0.181424025
11,0,PANAMA,1.930257863,5.403542029,2.691357756
2,0,PANAMA,1.930238068,5.403543569,2.691357756
36,0.125375313,MEX,1.719523904,5.4139986,8.72E-08
141,-0.251167346,TURKGB,1.844633918,5.488902887,3.46E-31
331,-0.874476365,LEBGB,1.742859793,5.623988353,0
303,-1.324706071,UKRGB,1.746521534,5.660950785,0
313,-1.324706071,UKRGB,1.74345437,5.66237526,0
135,-0.338162709,CROTB,1.815134058,5.793884472,9.99E-57
130,-0.338162709,CROTB,1.815073525,5.794140528,9.99E-57
23,0.022999177,HIBTB,1.802559756,5.881498826,2.162499406
293,-0.926028232,PAKGB,1.802465997,5.891843547,0
290,-0.926028232,PAKGB,1.802278897,5.892970968,0
253,-2.283613148,VENZ,1.988568669,5.912468053,0
219,-0.487825743,BRAZIL,1.932526078,5.922064348,6.83E-118
223,-0.487825743,BRAZIL,1.932526078,5.922064348,5.50E-119
235,0.695497744,CHILBT,1.677712202,6.099513049,1.67E-239
