,distance,TICKER,y,Effective_Duration,wkil
119,-0.200713872,COLOM,0.522383581,0.505873308,1.70E-08
121,-0.200713872,COLOM,0.520732438,0.505873468,1.70E-08
324,-1.331129387,UKRGB,1.943589923,0.559152995,0
294,-1.22720653,ARGENT,1.694660307,0.579079352,0
276,-0.930768025,LEBGB,1.340130849,0.585570596,0
226,-0.520661031,BRAZIL,0.385408924,0.791060505,0
37,0.142545277,MEX,0.677465544,0.791788725,0.00132988
168,-0.071170382,URUGUA,0.436243139,0.795685373,0.003055811
118,-0.200713872,COLOM,0.326038551,0.815410169,0
296,-1.22720653,ARGENT,1.840743255,0.902144271,0
72,-0.055304516,INDOGB,0.516241268,0.929102048,0.564142636
91,-0.055304516,INDOGB,0.388345861,0.929111926,0
331,-2.440223806,VENZ,-0.228788365,0.949847412,0
250,-0.930768025,LEBGB,1.405503077,0.95424027,2.85E-154
332,-2.440223806,VENZ,0.432226147,0.97565313,0
48,-0.272540838,RFLB,0.724973647,0.992784151,2.46E-13
60,-0.272540838,RFLB,0.724973647,0.992784151,2.46E-13
131,-0.404903757,CROTB,1.038221686,1.035662853,2.11E-29
136,-0.404903757,CROTB,1.038221686,1.035662853,2.11E-29
162,-0.071170382,URUGUA,0.072171977,1.072818566,0
323,-1.331129387,UKRGB,1.922430577,1.079468713,0
94,-0.055304516,INDOGB,0.566192094,1.103556148,0.586708342
280,-0.982149705,PAKGB,1.114358393,1.12705389,4.79E-172
284,-0.982149705,PAKGB,1.114358393,1.12705389,4.79E-172
329,-2.440223806,VENZ,0.654609996,1.130049322,0
247,-0.739065522,JAMAN,0.293271034,1.157510554,0
181,-0.349968348,SATB,0.68244126,1.178107164,4.67E-23
298,-1.22720653,ARGENT,1.83944887,1.189886059,0
154,-0.246248726,TURKGB,0.810031604,1.242083296,7.36E-11
273,-0.930768025,LEBGB,1.541923485,1.467259838,1.47E-154
297,-1.22720653,ARGENT,1.818122989,1.476188272,0
322,-1.331129387,UKRGB,1.94456914,1.619038619,0
89,-0.055304516,INDOGB,1.079858589,1.712369981,1.071871009
70,-0.055304516,INDOGB,1.136272021,1.712390907,1.071871009
171,-0.071170382,URUGUA,1.598804563,1.807854438,0.001733813
160,-0.071170382,URUGUA,0.498214054,1.809426411,0
22,0.016292852,HIBTB,1.163199529,1.839940108,1.266603967
156,-0.246248726,TURKGB,1.448338547,1.863584243,7.36E-11
295,-1.22720653,ARGENT,1.72548286,1.935111246,3.56E-268
244,-0.739065522,JAMAN,1.404908049,2.05957775,1.16E-97
271,-0.930768025,LEBGB,1.667932712,2.081784505,1.33E-154
51,-0.272540838,RFLB,1.59236437,2.095692154,4.26E-13
55,-0.272540838,RFLB,1.59236437,2.095692154,4.26E-13
3,0,PANAMA,1.731445851,2.100441641,1.96098372
1,0,PANAMA,1.716254009,2.100490316,1.96098372
13,0,PANAMA,1.715747469,2.100491926,1.96098372
342,-2.440223806,VENZ,2.145980374,2.148466522,0
348,-2.440223806,VENZ,2.137593354,2.14927235,0
292,-1.22720653,ARGENT,1.568244558,2.37460331,1.20E-267
278,-0.930768025,LEBGB,1.632456371,2.442812894,1.95E-154
341,-2.440223806,VENZ,2.3268138,2.444478718,0
200,0.745422538,RPGB,1.177965214,2.506881368,2.79E-99
68,-0.055304516,INDOGB,1.377283005,2.596253759,1.128285273
87,-0.055304516,INDOGB,1.352262362,2.596445492,1.128285273
227,-0.520661031,BRAZIL,1.134653296,2.603328828,2.46E-48
46,-0.272540838,RFLB,1.585128866,2.676498142,1.84E-13
63,-0.272540838,RFLB,1.585027729,2.676696029,1.84E-13
107,0.087790096,PERUGB,1.080287835,2.69656894,0
279,-0.982149705,PAKGB,1.522415513,2.710036461,6.39E-172
285,-0.982149705,PAKGB,1.522182484,2.710607842,6.39E-172
153,-0.246248726,TURKGB,1.591639168,2.722035464,4.91E-11
116,-0.200713872,COLOM,1.410770326,2.732661515,2.72E-07
176,-0.071170382,URUGUA,1.091626265,2.750442475,0
178,-0.071170382,URUGUA,1.071902882,2.750530496,0
41,0.142545277,MEX,0.992158099,2.777319537,0
267,-0.930768025,LEBGB,1.614083113,2.798404976,9.51E-155
23,0.016292852,HIBTB,1.496838697,2.849096143,1.368197063
277,-0.930768025,LEBGB,1.624576824,2.852243744,1.24E-154
179,-0.349968348,SATB,1.613222868,2.852687649,6.64E-22
212,0.745422538,RPGB,1.194846509,2.869107513,4.01E-99
240,-0.739065522,JAMAN,1.693614168,2.878351236,3.79E-98
175,-0.071170382,URUGUA,0.11423482,3.010814928,0
191,0.434406404,POLAND,1.442613145,3.010998478,1.95E-33
12,0,PANAMA,1.677137225,3.034595605,0.711789571
325,-1.331129387,UKRGB,-0.926197956,3.038011791,0
317,-1.331129387,UKRGB,1.825672762,3.049056418,3.17766512719e-315
315,-1.331129387,UKRGB,1.820636129,3.049363148,3.17766512719e-315
222,-0.520661031,BRAZIL,1.261501051,3.056963867,1.00E-48
338,-2.440223806,VENZ,2.216616374,3.058538287,0
220,-0.520661031,BRAZIL,1.648376825,3.157177027,2.95E-49
151,-0.246248726,TURKGB,1.643666991,3.175013253,4.91E-11
128,-0.404903757,CROTB,1.624307328,3.200627212,2.11E-29
126,-0.200713872,COLOM,1.665167233,3.311124995,1.08E-07
43,0.142545277,MEX,0.494702071,3.312892294,0
275,-0.930768025,LEBGB,1.622984578,3.314515011,2.85E-154
174,-0.071170382,URUGUA,1.411353607,3.399483997,0.002472445
177,-0.071170382,URUGUA,0.841546789,3.406810624,0
211,0.745422538,RPGB,1.300748711,3.437795498,2.63E-99
19,0.016292852,HIBTB,1.696949978,3.462963879,3.495581284
40,0.142545277,MEX,1.320468194,3.485757317,0.000926276
10,0,PANAMA,1.303759415,3.52176447,2.959623994
258,-0.930768025,LEBGB,1.664019177,3.542720109,2.28E-154
265,-0.930768025,LEBGB,1.680229372,3.565775919,1.33E-154
183,-0.349968348,SATB,1.739577752,3.602099807,6.64E-22
67,-0.055304516,INDOGB,1.51346407,3.60305236,1.128285273
86,-0.055304516,INDOGB,1.495686085,3.603292152,1.128285273
155,-0.246248726,TURKGB,1.695999983,3.664163916,6.54E-11
50,-0.272540838,RFLB,1.654431646,3.684116676,4.30E-13
61,-0.272540838,RFLB,1.654292891,3.684521276,4.30E-13
266,-0.930768025,LEBGB,1.697495729,3.723042825,1.14E-154
299,-1.22720653,ARGENT,1.505307407,3.769092251,4.29E-268
327,-1.331129387,UKRGB,1.787009503,3.787214032,3.29403827826e-315
129,-0.404903757,CROTB,1.685485978,3.78748239,1.76E-29
314,-1.331129387,UKRGB,1.782766714,3.787730512,3.29403827826e-315
134,-0.404903757,CROTB,1.685262033,3.788153921,1.76E-29
326,-1.331129387,UKRGB,-0.879558644,4.00986585,0
340,-2.440223806,VENZ,2.027659665,4.038224,0
234,0.730676578,CHILBT,1.437101296,4.043196108,1.78E-95
344,-2.440223806,VENZ,2.094624104,4.063125631,0
255,-0.930768025,LEBGB,1.71792315,4.110824955,3.98E-154
251,-0.930768025,LEBGB,1.712655562,4.111502111,3.98E-154
93,-0.055304516,INDOGB,1.650233685,4.276642683,0.014103566
20,0.016292852,HIBTB,1.775283886,4.285458376,5.309743723
229,-0.520661031,BRAZIL,1.742983623,4.317530166,3.77E-48
149,-0.246248726,TURKGB,1.764967797,4.339864831,6.54E-11
15,0,PANAMA,1.940767237,4.369030599,1.312492614
293,-1.22720653,ARGENT,1.632049601,4.372545923,1.90E-267
135,-0.404903757,CROTB,1.738826081,4.376973819,2.11E-29
130,-0.404903757,CROTB,1.727205684,4.377048206,2.11E-29
196,0.745422538,RPGB,1.413798869,4.404517283,0
248,-0.739065522,JAMAN,1.952610198,4.444215703,3.86E-98
32,0.142545277,MEX,1.581993942,4.454292045,0.00048173
308,-1.331129387,UKRGB,1.766355296,4.466634987,2.65943022968e-315
313,-1.331129387,UKRGB,1.762647013,4.467411235,2.65943022968e-315
194,0.434406404,POLAND,1.755751226,4.468479319,1.12E-33
95,-0.055304516,INDOGB,1.675607665,4.518141443,1.410356591
85,-0.055304516,INDOGB,1.663345386,4.518580469,1.410356591
170,-0.071170382,URUGUA,1.543165865,4.733556451,0.139862231
114,-0.200713872,COLOM,1.704603053,4.744448501,2.72E-07
238,0.730676578,CHILBT,1.593746445,5.056614232,1.35E-95
306,-1.331129387,UKRGB,1.747782284,5.090844773,2.61514824737e-315
312,-1.331129387,UKRGB,1.744438398,5.09192268,2.61514824737e-315
346,-2.440223806,VENZ,1.945906374,5.119346805,0
180,-0.349968348,SATB,1.798229878,5.206472475,3.32E-22
49,-0.272540838,RFLB,1.701770863,5.234369518,2.46E-13
59,-0.272540838,RFLB,1.701770863,5.234369518,2.46E-13
147,-0.246248726,TURKGB,1.828899332,5.245449934,3.27E-11
193,0.434406404,POLAND,1.86528284,5.285047967,1.67E-33
259,-0.930768025,LEBGB,1.682945561,5.334381242,2.93E-154
17,0,PANAMA,1.821824703,5.346820713,0.274061182
36,0.142545277,MEX,1.733413028,5.351830709,0.000294408
98,-0.055304516,INDOGB,1.792591269,5.401072511,1.128285273
9,0,PANAMA,1.934959736,5.403175328,2.691357756
83,-0.055304516,INDOGB,1.750766728,5.403194489,1.128285273
8,0,PANAMA,1.930257863,5.403542029,2.691357756
14,0,PANAMA,1.930238068,5.403543569,2.691357756
35,0.142545277,MEX,1.736693867,5.4139986,0.001232869
139,-0.246248726,TURKGB,1.849552537,5.488902887,8.18E-11
268,-0.930768025,LEBGB,1.686568133,5.623988353,2.09E-154
321,-1.331129387,UKRGB,1.740098218,5.660950785,2.56745936623e-315
311,-1.331129387,UKRGB,1.737031055,5.66237526,2.56745936623e-315
133,-0.404903757,CROTB,1.748393009,5.793884472,2.11E-29
137,-0.404903757,CROTB,1.748332476,5.794140528,2.11E-29
25,0.016292852,HIBTB,1.795853431,5.881498826,3.539829148
288,-0.982149705,PAKGB,1.746344524,5.891843547,6.39E-172
286,-0.982149705,PAKGB,1.746157424,5.892970968,6.39E-172
330,-2.440223806,VENZ,1.83195801,5.912468053,0
217,-0.520661031,BRAZIL,1.89969079,5.922064348,1.16E-49
218,-0.520661031,BRAZIL,1.89969079,5.922064348,1.44E-48
235,0.730676578,CHILBT,1.712891035,6.099513049,1.52E-95
214,0.745422538,RPGB,1.922844274,6.102627781,1.87E-99
343,-2.440223806,VENZ,1.894038776,6.118589491,0
230,-0.520661031,BRAZIL,1.84625065,6.145654364,2.71E-48
123,-0.200713872,COLOM,1.908584423,6.189676336,1.36E-07
320,-1.331129387,UKRGB,1.72875305,6.190562298,2.53842446714e-315
310,-1.331129387,UKRGB,1.725887602,6.192366506,2.53842446714e-315
