,distance,TICKER,y,Effective_Duration,wkil
126,-0.249843353,COLOM,0.473254101,0.505873308,0
125,-0.249843353,COLOM,0.471602958,0.505873468,0
299,-1.336352004,UKRGB,1.938367305,0.559152995,0
250,-0.371957621,ARGENT,2.549909216,0.579079352,0
311,-0.866068542,LEBGB,1.404830332,0.585570596,0
274,-0.571558316,BRAZIL,0.334511639,0.791060505,0
26,0.115557629,MEX,0.650477896,0.791788725,0
161,-0.13749261,URUGUA,0.36992091,0.795685373,0
111,-0.249843353,COLOM,0.276909071,0.815410169,0
252,-0.371957621,ARGENT,2.695992165,0.902144271,0
79,-0.063104417,INDOGB,0.508441367,0.929102048,0
90,-0.063104417,INDOGB,0.38054596,0.929111926,0
215,-2.324633241,VENZ,-0.1131978,0.949847412,0
327,-0.866068542,LEBGB,1.47020256,0.95424027,0
216,-2.324633241,VENZ,0.547816712,0.97565313,0
52,-0.202420629,RFLB,0.795093857,0.992784151,1.17E-45
61,-0.202420629,RFLB,0.795093857,0.992784151,1.17E-45
131,-0.283876066,CROTB,1.159249377,1.035662853,8.52E-90
137,-0.283876066,CROTB,1.159249377,1.035662853,8.52E-90
176,-0.13749261,URUGUA,0.005849748,1.072818566,0
298,-1.336352004,UKRGB,1.917207959,1.079468713,0
67,-0.063104417,INDOGB,0.558392193,1.103556148,0
240,-0.871795167,PAKGB,1.224712931,1.12705389,0
246,-0.871795167,PAKGB,1.224712931,1.12705389,0
217,-2.324633241,VENZ,0.770200561,1.130049322,0
341,-0.796935511,JAMAN,0.235401045,1.157510554,0
180,-0.376566746,SATB,0.655842861,1.178107164,0
254,-0.371957621,ARGENT,2.694697779,1.189886059,0
152,-0.296258664,TURKGB,0.760021667,1.242083296,0
314,-0.866068542,LEBGB,1.606622969,1.467259838,0
253,-0.371957621,ARGENT,2.673371898,1.476188272,0
297,-1.336352004,UKRGB,1.939346523,1.619038619,0
92,-0.063104417,INDOGB,1.072058688,1.712369981,0.000140997
76,-0.063104417,INDOGB,1.12847212,1.712390907,0.000140997
164,-0.13749261,URUGUA,1.532482334,1.807854438,1.36E-23
165,-0.13749261,URUGUA,0.431891825,1.809426411,0
21,0.016620674,HIBTB,1.163527352,1.839940108,0.696448332
154,-0.296258664,TURKGB,1.39832861,1.863584243,1.33E-97
251,-0.371957621,ARGENT,2.580731769,1.935111246,0
345,-0.796935511,JAMAN,1.34703806,2.05957775,0
315,-0.866068542,LEBGB,1.732632195,2.081784505,0
46,-0.202420629,RFLB,1.66248458,2.095692154,2.03E-45
49,-0.202420629,RFLB,1.66248458,2.095692154,2.03E-45
16,0,PANAMA,1.731445851,2.100441641,1.96098372
10,0,PANAMA,1.716254009,2.100490316,1.96098372
17,0,PANAMA,1.715747469,2.100491926,1.96098372
224,-2.324633241,VENZ,2.261570939,2.148466522,0
235,-2.324633241,VENZ,2.253183918,2.14927235,0
248,-0.371957621,ARGENT,2.423493468,2.37460331,0
309,-0.866068542,LEBGB,1.697155854,2.442812894,0
227,-2.324633241,VENZ,2.442404365,2.444478718,0
203,0.784729744,RPGB,1.21727242,2.506881368,0
75,-0.063104417,INDOGB,1.369483104,2.596253759,0.000148418
94,-0.063104417,INDOGB,1.344462461,2.596445492,0.000148418
275,-0.571558316,BRAZIL,1.083756011,2.603328828,0
53,-0.202420629,RFLB,1.655249075,2.676498142,8.79E-46
58,-0.202420629,RFLB,1.655147939,2.676696029,8.79E-46
108,0.036858995,PERUGB,1.029356734,2.69656894,0.04222739
243,-0.871795167,PAKGB,1.632770051,2.710036461,0
239,-0.871795167,PAKGB,1.632537023,2.710607842,0
141,-0.296258664,TURKGB,1.54162923,2.722035464,8.88E-98
112,-0.249843353,COLOM,1.361640846,2.732661515,1.73E-69
178,-0.13749261,URUGUA,1.025304036,2.750442475,3.70E-22
168,-0.13749261,URUGUA,1.005580653,2.750530496,1.78E-22
44,0.115557629,MEX,0.965170452,2.777319537,4.71E-15
319,-0.866068542,LEBGB,1.678782596,2.798404976,0
19,0.016620674,HIBTB,1.497166519,2.849096143,0.752309789
310,-0.866068542,LEBGB,1.689276307,2.852243744,0
181,-0.376566746,SATB,1.58662447,2.852687649,1.09E-157
207,0.784729744,RPGB,1.234153716,2.869107513,0
350,-0.796935511,JAMAN,1.635744179,2.878351236,0
170,-0.13749261,URUGUA,0.047912591,3.010814928,0
188,0.440279992,POLAND,1.448486733,3.010998478,2.83E-215
13,0,PANAMA,1.677137225,3.034595605,0.711789571
300,-1.336352004,UKRGB,-0.931420573,3.038011791,0
283,-1.336352004,UKRGB,1.820450145,3.049056418,0
284,-1.336352004,UKRGB,1.815413512,3.049363148,0
270,-0.571558316,BRAZIL,1.210603766,3.056963867,0
219,-2.324633241,VENZ,2.332206939,3.058538287,0
265,-0.571558316,BRAZIL,1.59747954,3.157177027,0
151,-0.296258664,TURKGB,1.593657053,3.175013253,8.88E-98
133,-0.283876066,CROTB,1.745335019,3.200627212,8.52E-90
115,-0.249843353,COLOM,1.616037753,3.311124995,6.88E-70
32,0.115557629,MEX,0.467714423,3.312892294,0
312,-0.866068542,LEBGB,1.687684061,3.314515011,0
166,-0.13749261,URUGUA,1.345031378,3.399483997,1.94E-23
167,-0.13749261,URUGUA,0.77522456,3.406810624,0
210,0.784729744,RPGB,1.340055917,3.437795498,0
24,0.016620674,HIBTB,1.697277801,3.462963879,1.922062318
43,0.115557629,MEX,1.293480547,3.485757317,5.52E-15
9,0,PANAMA,1.303759415,3.52176447,2.959623994
307,-0.866068542,LEBGB,1.72871866,3.542720109,0
321,-0.866068542,LEBGB,1.744928855,3.565775919,0
182,-0.376566746,SATB,1.712979354,3.602099807,1.09E-157
