,distance,TICKER,y,Effective_Duration,wkil
119,-0.152836473,COLOM,0.57026098,0.505873308,0.022587309
121,-0.152836473,COLOM,0.568609837,0.505873468,0.022587309
324,-1.337363182,UKRGB,1.937356127,0.559152995,0
294,-1.160205127,ARGENT,1.761661711,0.579079352,0
276,-0.892187126,LEBGB,1.378711748,0.585570596,0
226,-0.477808579,BRAZIL,0.428261376,0.791060505,3.20E-10
37,0.167637116,MEX,0.702557383,0.791788725,0.30700881
168,-0.016318769,URUGUA,0.491094752,0.795685373,0.023647572
118,-0.152836473,COLOM,0.37391595,0.815410169,0.298152481
296,-1.160205127,ARGENT,1.907744659,0.902144271,0
72,-0.04280794,INDOGB,0.528737844,0.929102048,1.635682076
91,-0.04280794,INDOGB,0.400842437,0.929111926,0
331,-2.418673572,VENZ,-0.20723813,0.949847412,0
250,-0.892187126,LEBGB,1.444083976,0.95424027,0
332,-2.418673572,VENZ,0.453776381,0.97565313,2.38E-260
48,-0.293042237,RFLB,0.704472248,0.992784151,0.000601886
60,-0.293042237,RFLB,0.704472248,0.992784151,0.000601886
131,-0.440730939,CROTB,1.002394504,1.035662853,6.89E-09
136,-0.440730939,CROTB,1.002394504,1.035662853,6.89E-09
162,-0.016318769,URUGUA,0.12702359,1.072818566,0
323,-1.337363182,UKRGB,1.916196781,1.079468713,0
94,-0.04280794,INDOGB,0.57868867,1.103556148,1.701109359
280,-1.019839947,PAKGB,1.076668151,1.12705389,8.79E-47
284,-1.019839947,PAKGB,1.076668151,1.12705389,8.79E-47
329,-2.418673572,VENZ,0.676160231,1.130049322,2.08E-261
247,-0.725892629,JAMAN,0.306443927,1.157510554,0
181,-0.353698668,SATB,0.678710939,1.178107164,7.64E-07
298,-1.160205127,ARGENT,1.906450273,1.189886059,0
154,-0.236311562,TURKGB,0.819968769,1.242083296,0.014634483
273,-0.892187126,LEBGB,1.580504385,1.467259838,0
297,-1.160205127,ARGENT,1.885124393,1.476188272,0
322,-1.337363182,UKRGB,1.938335345,1.619038619,0
89,-0.04280794,INDOGB,1.092355165,1.712369981,3.107795944
70,-0.04280794,INDOGB,1.148768597,1.712390907,3.107795944
171,-0.016318769,URUGUA,1.653656176,1.807854438,0.013417215
160,-0.016318769,URUGUA,0.553065667,1.809426411,0
22,0.005632979,HIBTB,1.152539657,1.839940108,1.407419481
156,-0.236311562,TURKGB,1.458275712,1.863584243,0.014634483
295,-1.160205127,ARGENT,1.792484263,1.935111246,0
244,-0.725892629,JAMAN,1.418080942,2.05957775,5.64E-24
271,-0.892187126,LEBGB,1.706513611,2.081784505,5.78E-36
51,-0.293042237,RFLB,1.571862971,2.095692154,0.001043188
55,-0.293042237,RFLB,1.571862971,2.095692154,0.001043188
3,0,PANAMA,1.731445851,2.100441641,1.96098372
