,distance,TICKER,y,Effective_Duration,wkil
119,-0.234673562,COLOM,0.488423892,0.505873308,0.060275349
121,-0.234673562,COLOM,0.486772749,0.505873468,0.060275349
324,-1.431806403,UKRGB,1.842912907,0.559152995,0
294,-1.366091043,ARGENT,1.555775795,0.579079352,0
276,-0.995099203,LEBGB,1.275799671,0.585570596,0
226,-0.561956742,BRAZIL,0.344113213,0.791060505,0.001392015
37,0.098801705,MEX,0.633721972,0.791788725,4.243149655
168,-0.080004915,URUGUA,0.427408605,0.795685373,0.020630112
118,-0.234673562,COLOM,0.292078862,0.815410169,0.795634601
296,-1.366091043,ARGENT,1.701858743,0.902144271,0
72,-0.122710284,INDOGB,0.4488355,0.929102048,1.342251973
91,-0.122710284,INDOGB,0.320940093,0.929111926,1.342251973
331,-2.554036569,VENZ,-0.342601128,0.949847412,0
250,-0.995099203,LEBGB,1.341171899,0.95424027,0
332,-2.554036569,VENZ,0.318413384,0.97565313,7.94E-73
48,-0.399455019,RFLB,0.598059467,0.992784151,0.066560304
60,-0.399455019,RFLB,0.598059467,0.992784151,0.066560304
131,-0.547971022,CROTB,0.895154421,1.035662853,0.001364064
136,-0.547971022,CROTB,0.895154421,1.035662853,0.001364064
162,-0.080004915,URUGUA,0.063337443,1.072818566,0
323,-1.431806403,UKRGB,1.821753561,1.079468713,0
94,-0.122710284,INDOGB,0.498786326,1.103556148,1.395942052
280,-1.13562917,PAKGB,0.960878928,1.12705389,6.93E-15
284,-1.13562917,PAKGB,0.960878928,1.12705389,6.93E-15
329,-2.554036569,VENZ,0.540797233,1.130049322,6.91E-74
247,-0.816807914,JAMAN,0.215528641,1.157510554,0
181,-0.450415357,SATB,0.58199425,1.178107164,0.001545973
298,-1.366091043,ARGENT,1.700564358,1.189886059,0
154,-0.323920931,TURKGB,0.7323594,1.242083296,0.30302732
273,-0.995099203,LEBGB,1.477592308,1.467259838,0
297,-1.366091043,ARGENT,1.679238477,1.476188272,0
322,-1.431806403,UKRGB,1.843892124,1.619038619,0
89,-0.122710284,INDOGB,1.012452821,1.712369981,2.550278749
70,-0.122710284,INDOGB,1.068866253,1.712390907,2.550278749
171,-0.080004915,URUGUA,1.589970029,1.807854438,0.011705161
160,-0.080004915,URUGUA,0.489379521,1.809426411,0
22,-0.092656777,HIBTB,1.0542499,1.839940108,1.13354976
156,-0.323920931,TURKGB,1.370666342,1.863584243,0.30302732
295,-1.366091043,ARGENT,1.586598348,1.935111246,0
244,-0.816807914,JAMAN,1.327165656,2.05957775,5.72E-08
271,-0.995099203,LEBGB,1.603601534,2.081784505,1.37E-11
51,-0.399455019,RFLB,1.46545019,2.095692154,0.115362253
55,-0.399455019,RFLB,1.46545019,2.095692154,0.115362253
3,0,PANAMA,1.731445851,2.100441641,0
1,0,PANAMA,1.716254009,2.100490316,0
13,0,PANAMA,1.715747469,2.100491926,0
342,-2.554036569,VENZ,2.032167611,2.148466522,0
348,-2.554036569,VENZ,2.023780591,2.14927235,0
292,-1.366091043,ARGENT,1.429360046,2.37460331,1.22E-20
278,-0.995099203,LEBGB,1.568125193,2.442812894,2.01E-11
341,-2.554036569,VENZ,2.213001037,2.444478718,0
200,0.727421801,RPGB,1.159964476,2.506881368,2.24E-06
68,-0.122710284,INDOGB,1.309877237,2.596253759,2.684503946
87,-0.122710284,INDOGB,1.284856595,2.596445492,2.684503946
227,-0.561956742,BRAZIL,1.093357585,2.603328828,0.001191262
46,-0.399455019,RFLB,1.458214685,2.676498142,0.049920228
63,-0.399455019,RFLB,1.458113549,2.676696029,0.049920228
107,0.098085108,PERUGB,1.090582847,2.69656894,1.067223853
279,-1.13562917,PAKGB,1.368936048,2.710036461,9.24E-15
285,-1.13562917,PAKGB,1.36870302,2.710607842,9.24E-15
153,-0.323920931,TURKGB,1.513966963,2.722035464,0.202018213
116,-0.234673562,COLOM,1.376810636,2.732661515,0.964405576
176,-0.080004915,URUGUA,1.082791731,2.750442475,0.317397807
178,-0.080004915,URUGUA,1.063068348,2.750530496,0.152464667
