,distance,TICKER,y,Effective_Duration,wkil
119,-0.157166666,COLOM,0.565930787,0.505873308,0.210590853
121,-0.157166666,COLOM,0.564279644,0.505873468,0.210590853
324,-1.334246971,UKRGB,1.940472338,0.559152995,0
294,-1.235031209,ARGENT,1.686835628,0.579079352,0
276,-0.889612555,LEBGB,1.381286319,0.585570596,0
226,-0.480755896,BRAZIL,0.425314059,0.791060505,1.024475295
37,0.163796211,MEX,0.698716478,0.791788725,4.588042469
168,-0.0196558,URUGUA,0.48775772,0.795685373,0.024240923
118,-0.157166666,COLOM,0.369585757,0.815410169,2.779799266
296,-1.235031209,ARGENT,1.832918576,0.902144271,0
72,-0.040816778,INDOGB,0.530729006,0.929102048,1.952169019
91,-0.040816778,INDOGB,0.4028336,0.929111926,1.952169019
331,-2.467802756,VENZ,-0.256367315,0.949847412,0
250,-0.889612555,LEBGB,1.446658547,0.95424027,0
332,-2.467802756,VENZ,0.404647197,0.97565313,2.90E-17
48,-0.294162727,RFLB,0.703351759,0.992784151,2.268852554
60,-0.294162727,RFLB,0.703351759,0.992784151,2.268852554
131,-0.440728074,CROTB,1.002397369,1.035662853,0.854418218
136,-0.440728074,CROTB,1.002397369,1.035662853,0.854418218
162,-0.0196558,URUGUA,0.123686558,1.072818566,0
323,-1.334246971,UKRGB,1.919312992,1.079468713,0
94,-0.040816778,INDOGB,0.580679833,1.103556148,2.03025578
280,-1.020579595,PAKGB,1.075928503,1.12705389,0.001891836
284,-1.020579595,PAKGB,1.075928503,1.12705389,0.001891836
329,-2.467802756,VENZ,0.627031046,1.130049322,2.53E-18
247,-0.727201958,JAMAN,0.305134598,1.157510554,0
181,-0.351962232,SATB,0.680447375,1.178107164,0.125683561
298,-1.235031209,ARGENT,1.831624191,1.189886059,0
154,-0.238983921,TURKGB,0.817296409,1.242083296,3.080900186
273,-0.889612555,LEBGB,1.583078956,1.467259838,0
297,-1.235031209,ARGENT,1.81029831,1.476188272,0
322,-1.334246971,UKRGB,1.941451556,1.619038619,0
89,-0.040816778,INDOGB,1.094346328,1.712369981,3.709121137
70,-0.040816778,INDOGB,1.150759759,1.712390907,3.709121137
171,-0.0196558,URUGUA,1.650319144,1.807854438,0.013753872
160,-0.0196558,URUGUA,0.549728635,1.809426411,0
22,0.007493968,HIBTB,1.154400646,1.839940108,1.41149004
156,-0.238983921,TURKGB,1.455603352,1.863584243,3.080900186
295,-1.235031209,ARGENT,1.717658181,1.935111246,0
244,-0.727201958,JAMAN,1.416771613,2.05957775,0.050261498
271,-0.889612555,LEBGB,1.709088182,2.081784505,0.008746858
51,-0.294162727,RFLB,1.570742482,2.095692154,3.932372978
