,distance,TICKER,y,Effective_Duration,wkil
349,-0.262600181,COLOM,0.460497273,0.505873308,0
348,-0.262600181,COLOM,0.45884613,0.505873468,0
258,-1.347007299,UKRGB,1.92771201,0.559152995,0
240,-0.771699043,ARGENT,2.150167795,0.579079352,0
166,-0.844687065,LEBGB,1.426211809,0.585570596,0
298,-0.574587118,BRAZIL,0.331482837,0.791060505,0
36,0.067214291,MEX,0.602134558,0.791788725,0
119,0.015618343,URUGUA,0.523031864,0.795685373,0
339,-0.262600181,COLOM,0.264152243,0.815410169,0
238,-0.771699043,ARGENT,2.296250743,0.902144271,0
82,-0.087281225,INDOGB,0.484264559,0.929102048,0
103,-0.087281225,INDOGB,0.356369153,0.929111926,0
220,-2.391676854,VENZ,-0.180241413,0.949847412,0
172,-0.844687065,LEBGB,1.491584037,0.95424027,0
221,-2.391676854,VENZ,0.480773099,0.97565313,0
52,-0.283390192,RFLB,0.714124293,0.992784151,0
61,-0.283390192,RFLB,0.714124293,0.992784151,0
319,-0.256264368,CROTB,1.186861075,1.035662853,3.93E-292
326,-0.256264368,CROTB,1.186861075,1.035662853,3.93E-292
111,0.015618343,URUGUA,0.158960702,1.072818566,0
259,-1.347007299,UKRGB,1.906552664,1.079468713,0
67,-0.087281225,INDOGB,0.534215386,1.103556148,0
141,-0.841236447,PAKGB,1.255271651,1.12705389,0
147,-0.841236447,PAKGB,1.255271651,1.12705389,0
222,-2.391676854,VENZ,0.703156948,1.130049322,0
314,-0.794992676,JAMAN,0.23734388,1.157510554,0
178,-0.370131393,SATB,0.662278215,1.178107164,0
236,-0.771699043,ARGENT,2.294956357,1.189886059,0
205,-0.300364413,TURKGB,0.755915918,1.242083296,0
163,-0.844687065,LEBGB,1.628004445,1.467259838,0
237,-0.771699043,ARGENT,2.273630477,1.476188272,0
267,-1.347007299,UKRGB,1.928691228,1.619038619,0
100,-0.087281225,INDOGB,1.047881881,1.712369981,5.20E-34
80,-0.087281225,INDOGB,1.104295313,1.712390907,5.20E-34
123,0.015618343,URUGUA,1.685593288,1.807854438,0.001135897
124,0.015618343,URUGUA,0.585002779,1.809426411,0
21,0.019238208,HIBTB,1.166144886,1.839940108,0.031980483
202,-0.300364413,TURKGB,1.394222861,1.863584243,0
239,-0.771699043,ARGENT,2.180990348,1.935111246,0
311,-0.794992676,JAMAN,1.348980895,2.05957775,0
159,-0.844687065,LEBGB,1.754013672,2.081784505,0
49,-0.283390192,RFLB,1.581515016,2.095692154,0
58,-0.283390192,RFLB,1.581515016,2.095692154,0
16,0,PANAMA,1.731445851,2.100441641,1.96098372
10,0,PANAMA,1.716254009,2.100490316,1.96098372
17,0,PANAMA,1.715747469,2.100491926,1.96098372
214,-2.391676854,VENZ,2.194527326,2.148466522,0
207,-2.391676854,VENZ,2.186140306,2.14927235,0
242,-0.771699043,ARGENT,2.023752046,2.37460331,0
168,-0.844687065,LEBGB,1.71853733,2.442812894,0
215,-2.391676854,VENZ,2.375360752,2.444478718,0
281,0.75447383,RPGB,1.187016505,2.506881368,0
78,-0.087281225,INDOGB,1.345306297,2.596253759,5.47E-34
97,-0.087281225,INDOGB,1.320285654,2.596445492,5.47E-34
299,-0.574587118,BRAZIL,1.080727209,2.603328828,0
54,-0.283390192,RFLB,1.574279512,2.676498142,0
47,-0.283390192,RFLB,1.574178375,2.676696029,0
108,0.021371917,PERUGB,1.013869656,2.69656894,0.012737601
144,-0.841236447,PAKGB,1.663328771,2.710036461,0
142,-0.841236447,PAKGB,1.663095743,2.710607842,0
204,-0.300364413,TURKGB,1.537523481,2.722035464,0
341,-0.262600181,COLOM,1.348884018,2.732661515,1.28E-306
128,0.015618343,URUGUA,1.17841499,2.750442475,0.030801044
127,0.015618343,URUGUA,1.158691607,2.750530496,0.014795537
37,0.067214291,MEX,0.916827114,2.777319537,0
155,-0.844687065,LEBGB,1.700164073,2.798404976,0
19,0.019238208,HIBTB,1.499784053,2.849096143,0.034545608
167,-0.844687065,LEBGB,1.710657784,2.852243744,0
180,-0.370131393,SATB,1.593059823,2.852687649,0
273,0.75447383,RPGB,1.203897801,2.869107513,0
316,-0.794992676,JAMAN,1.637687014,2.878351236,0
129,0.015618343,URUGUA,0.201023544,3.010814928,0
133,0.426325415,POLAND,1.434532156,3.010998478,0
13,0,PANAMA,1.677137225,3.034595605,0.711789571
257,-1.347007299,UKRGB,-0.942075869,3.038011791,0
247,-1.347007299,UKRGB,1.80979485,3.049056418,0
246,-1.347007299,UKRGB,1.804758217,3.049363148,0
292,-0.574587118,BRAZIL,1.207574964,3.056963867,0
218,-2.391676854,VENZ,2.265163326,3.058538287,0
296,-0.574587118,BRAZIL,1.594450738,3.157177027,0
196,-0.300364413,TURKGB,1.589551305,3.175013253,0
322,-0.256264368,CROTB,1.772946716,3.200627212,3.93E-292
335,-0.262600181,COLOM,1.603280925,3.311124995,5.11E-307
40,0.067214291,MEX,0.419371085,3.312892294,0
165,-0.844687065,LEBGB,1.709065537,3.314515011,0
125,0.015618343,URUGUA,1.498142331,3.399483997,0.001619807
126,0.015618343,URUGUA,0.928335514,3.406810624,0.001940518
279,0.75447383,RPGB,1.309800002,3.437795498,0
24,0.019238208,HIBTB,1.699895334,3.462963879,0.088259932
35,0.067214291,MEX,1.245137208,3.485757317,3.16E-20
9,0,PANAMA,1.303759415,3.52176447,2.959623994
169,-0.844687065,LEBGB,1.750100137,3.542720109,0
153,-0.844687065,LEBGB,1.766310332,3.565775919,0
181,-0.370131393,SATB,1.719414707,3.602099807,0
77,-0.087281225,INDOGB,1.481487361,3.60305236,5.47E-34
98,-0.087281225,INDOGB,1.463709377,3.603292152,5.47E-34
200,-0.300364413,TURKGB,1.641884297,3.664163916,0
50,-0.283390192,RFLB,1.643582292,3.684116676,0
60,-0.283390192,RFLB,1.643443537,3.684521276,0
154,-0.844687065,LEBGB,1.783576688,3.723042825,0
229,-0.771699043,ARGENT,1.960814895,3.769092251,0
255,-1.347007299,UKRGB,1.771131591,3.787214032,0
324,-0.256264368,CROTB,1.834125367,3.78748239,3.28E-292
260,-1.347007299,UKRGB,1.766888801,3.787730512,0
321,-0.256264368,CROTB,1.833901421,3.788153921,3.28E-292
256,-1.347007299,UKRGB,-0.895436557,4.00986585,0
216,-2.391676854,VENZ,2.076206617,4.038224,0
333,0.784812085,CHILBT,1.491236804,4.043196108,0
211,-2.391676854,VENZ,2.143171056,4.063125631,0
174,-0.844687065,LEBGB,1.80400411,4.110824955,0
160,-0.844687065,LEBGB,1.798736522,4.111502111,0
74,-0.087281225,INDOGB,1.618256977,4.276642683,6.84E-36
23,0.019238208,HIBTB,1.778229242,4.285458376,0.134065719
301,-0.574587118,BRAZIL,1.689057536,4.317530166,0
185,-0.300364413,TURKGB,1.710852111,4.339864831,0
3,0,PANAMA,1.940767237,4.369030599,1.312492614
241,-0.771699043,ARGENT,2.087557089,4.372545923,0
320,-0.256264368,CROTB,1.88746547,4.376973819,3.93E-292
325,-0.256264368,CROTB,1.875845072,4.377048206,3.93E-292
277,0.75447383,RPGB,1.422850161,4.404517283,0
315,-0.794992676,JAMAN,1.896683044,4.444215703,0
31,0.067214291,MEX,1.506662956,4.454292045,1.64E-20
254,-1.347007299,UKRGB,1.750477383,4.466634987,0
253,-1.347007299,UKRGB,1.7467691,4.467411235,0
135,0.426325415,POLAND,1.747670237,4.468479319,0
76,-0.087281225,INDOGB,1.643630957,4.518141443,6.84E-34
66,-0.087281225,INDOGB,1.631368678,4.518580469,6.84E-34
121,0.015618343,URUGUA,1.62995459,4.733556451,0.091629875
343,-0.262600181,COLOM,1.642716745,4.744448501,1.28E-306
332,0.784812085,CHILBT,1.647881953,5.056614232,0
252,-1.347007299,UKRGB,1.731904371,5.090844773,0
261,-1.347007299,UKRGB,1.728560485,5.09192268,0
209,-2.391676854,VENZ,1.994453326,5.119346805,0
179,-0.370131393,SATB,1.778066833,5.206472475,0
51,-0.283390192,RFLB,1.690921509,5.234369518,0
62,-0.283390192,RFLB,1.690921509,5.234369518,0
186,-0.300364413,TURKGB,1.774783645,5.245449934,0
136,0.426325415,POLAND,1.85720185,5.285047967,0
162,-0.844687065,LEBGB,1.769026521,5.334381242,0
5,0,PANAMA,1.821824703,5.346820713,0.274061182
42,0.067214291,MEX,1.658082043,5.351830709,1.00E-20
101,-0.087281225,INDOGB,1.760614561,5.401072511,5.47E-34
1,0,PANAMA,1.934959736,5.403175328,2.691357756
86,-0.087281225,INDOGB,1.71879002,5.403194489,5.47E-34
11,0,PANAMA,1.930257863,5.403542029,2.691357756
2,0,PANAMA,1.930238068,5.403543569,2.691357756
34,0.067214291,MEX,1.661362882,5.4139986,4.21E-20
187,-0.300364413,TURKGB,1.795436851,5.488902887,0
157,-0.844687065,LEBGB,1.772649093,5.623988353,0
245,-1.347007299,UKRGB,1.724220306,5.660950785,0
262,-1.347007299,UKRGB,1.721153142,5.66237526,0
327,-0.256264368,CROTB,1.897032398,5.793884472,3.93E-292
318,-0.256264368,CROTB,1.896971865,5.794140528,3.93E-292
20,0.019238208,HIBTB,1.798798787,5.881498826,0.089377146
143,-0.841236447,PAKGB,1.887257782,5.891843547,0
139,-0.841236447,PAKGB,1.887070682,5.892970968,0
219,-2.391676854,VENZ,1.880504963,5.912468053,0
288,-0.574587118,BRAZIL,1.845764703,5.922064348,0
294,-0.574587118,BRAZIL,1.845764703,5.922064348,0
331,0.784812085,CHILBT,1.767026543,6.099513049,0
282,0.75447383,RPGB,1.931895565,6.102627781,0
213,-2.391676854,VENZ,1.942585728,6.118589491,0
305,-0.574587118,BRAZIL,1.792324563,6.145654364,0
338,-0.262600181,COLOM,1.846698115,6.189676336,6.42E-307
251,-1.347007299,UKRGB,1.712875137,6.190562298,0
266,-1.347007299,UKRGB,1.710009689,6.192366506,0
99,-0.087281225,INDOGB,1.768228505,6.219261725,4.10E-34
96,-0.087281225,INDOGB,1.838954027,6.219600738,2.73E-34
69,-0.087281225,INDOGB,1.75956466,6.219957503,4.10E-34
71,-0.087281225,INDOGB,1.831786774,6.220554542,2.73E-34
188,-0.300364413,TURKGB,1.767225216,6.265784864,0
25,0.019238208,HIBTB,1.7977542,6.274078273,0.089377146
309,-0.794992676,JAMAN,1.701978085,6.282889014,0
224,-2.391676854,VENZ,1.821944859,6.28454412,0
134,0.426325415,POLAND,1.853768422,6.328580217,0
350,-0.262600181,COLOM,1.650209127,6.339664742,6.42E-307
116,0.015618343,URUGUA,1.709177489,6.34793062,0.249844664
55,-0.283390192,RFLB,1.699310832,6.359294664,0
323,-0.256264368,CROTB,1.884184205,6.361709229,4.59E-292
317,-0.256264368,CROTB,1.884124718,6.362013488,4.59E-292
287,0.75447383,RPGB,1.97651534,6.362861654,0
