,AnalysisDate,ISIN,OAS_Swap,RiskEntityId,TICKER,IndustryGroup,Market,Sector,SectorGroup,Currency,MatDate,SnrtyCodeDesc,Coupon,CouponPaymentFrequencyCode,Effective_Duration,AmtOutstanding,Price,PriceIsRolledOver,MoodyRating,SandPRating,CurveId,MatYears,logOAS,IL_dist,normweight,outlier,suppressed,w,kernel,IL_weight,y,wkil,w_sort,distance
17,5/2/2016,PAL634445MA6,0.020270656,100086996,PAGV,SOVRN,SV,SOVR,SOV,USD,6/15/2018,Unsecured,5,Semiannually,2.007316206,0.105789907,104.13,N,Baa2,N/A,USD-PAGV-SEN,2.119096509,1.706589249,0,0.054451079,TRUE,FALSE,0,1,1,1.706589249,0,1,0
18,5/2/2016,US445545AJ57,0.021729959,100036773,HUGV,SOVRN,SV,SOVR,SOV,USD,11/22/2023,Unsecured,5.75,Semiannually,6.178251612,0.212885226,113.45,N,Ba1,BB+,USD-HUGV-SEN,7.556468172,1.776106824,0,0.145839987,FALSE,FALSE,0.212885226,0.551844414,1,1.667066544,0.117479523,0.972405821,-0.10904028
19,5/2/2016,US445545AK21,0.016157205,100036773,HUGV,SOVRN,SV,SOVR,SOV,USD,3/25/2019,Unsecured,4,Semiannually,2.755843321,0.082283333,103.75,N,Ba1,BB+,USD-HUGV-SEN,2.893908282,1.479780978,0,0.056369343,FALSE,FALSE,0.082283333,0.551844414,1,1.370740698,0.045407598,0.972405821,-0.10904028
20,5/2/2016,US445545AL04,0.021666364,100036773,HUGV,SOVRN,SV,SOVR,SOV,USD,3/25/2024,Unsecured,5.375,Semiannually,6.575152273,0.212885226,111.25,N,Ba1,BB+,USD-HUGV-SEN,7.89596167,1.773175899,0,0.145839987,FALSE,FALSE,0.212885226,0.551844414,1,1.664135619,0.117479523,0.972405821,-0.10904028
21,5/2/2016,US445545AG19,0.010704311,100036773,HUGV,SOVRN,SV,SOVR,SOV,USD,2/19/2018,Senior Unsecured,4.125,Semiannually,1.746799192,0.076173527,103.625,N,Ba1,BB+,USD-HUGV-SEN,1.801505818,1.068061468,0,0.052183735,FALSE,FALSE,0.076173527,0.551844414,1,0.959021188,0.042035935,0.972405821,-0.10904028
22,5/2/2016,US445545AD87,0.018769733,100036773,HUGV,SOVRN,SV,SOVR,SOV,USD,1/29/2020,Senior Unsecured,6.25,Semiannually,3.370327646,0.210224161,111.375,N,Ba1,BB+,USD-HUGV-SEN,3.742642026,1.629660522,0,0.144016987,FALSE,FALSE,0.210224161,0.551844414,1,1.520620243,0.116011029,0.972405821,-0.10904028
23,5/2/2016,US445545AF36,0.026878987,100036773,HUGV,SOVRN,SV,SOVR,SOV,USD,3/29/2041,Senior Unsecured,7.625,Semiannually,13.09974166,0.133053266,141.125,N,Ba1,BB+,USD-HUGV-SEN,24.90622861,1.988759735,0,0.091149992,FALSE,FALSE,0.133053266,0.551844414,1,1.879719455,0.073424702,0.972405821,-0.10904028
24,5/2/2016,US445545AE60,0.020314689,100036773,HUGV,SOVRN,SV,SOVR,SOV,USD,3/29/2021,Senior Unsecured,6.375,Semiannually,4.313329853,0.319327839,113.875,N,Ba1,BB+,USD-HUGV-SEN,4.906228611,1.708759137,0,0.218759981,FALSE,FALSE,0.319327839,0.551844414,1,1.599718857,0.176219284,0.972405821,-0.10904028
25,5/2/2016,US445545AH91,0.021797937,100036773,HUGV,SOVRN,SV,SOVR,SOV,USD,2/21/2023,Senior Unsecured,5.375,Semiannually,5.78649527,0.212885226,110.375,N,Ba1,BB+,USD-HUGV-SEN,6.806297057,1.779230238,0,0.145839987,FALSE,FALSE,0.212885226,0.551844414,1,1.670189958,0.117479523,0.972405821,-0.10904028
26,5/2/2016,USY20721AF61,0.005490584,100066650,IDGV,SOVRN,SV,SOVR,SOV,USD,3/9/2017,Senior Unsecured,6.875,Semiannually,0.83596583,0.106442613,104.375,N,Baa3,BB+,USD-IDGV-SEN,0.851471595,0.549058448,0,0.014369881,TRUE,FALSE,0,0.796950194,1,0.481684404,0,0.67030813,-0.067374044
