,AnalysisDate,ISIN,OAS_Swap,RiskEntityId,TICKER,IndustryGroup,Market,Sector,SectorGroup,Currency,MatDate,SnrtyCodeDesc,Coupon,CouponPaymentFrequencyCode,Effective_Duration,AmtOutstanding,Price,PriceIsRolledOver,MoodyRating,SandPRating,CurveId,MatYears,logOAS,IL_dist,outlier,suppressed,w,kernel,IL_weight,y,wkil,w_sort,distance
17,5/2/2016,US91086QAV05,0.02640751,100087207,MXGV,SOVRN,SV,SOVR,SOV,USD,1/11/2040,Senior Unsecured,6.05,Semiannually,13.24434826,6.226832275,118.5,N,A3,BBB+,USD-MXGV-SEN,23.69336071,1.971063348,0,FALSE,FALSE,6.226832275,1,1,1.971063348,6.226832275,1,0
18,5/2/2016,US593048BA88,0.007387355,100087207,MXGV,SOVRN,SV,SOVR,SOV,USD,9/15/2016,Senior Unsecured,11.375,Semiannually,0.37260274,2.976441591,103.6122,N,A3,BBB+,USD-MXGV-SEN,0.372347707,0.738735478,0,FALSE,FALSE,2.976441591,1,1,0.738735478,2.976441591,1,0
19,5/2/2016,US593048AX90,0.022873348,100087207,MXGV,SOVRN,SV,SOVR,SOV,USD,5/15/2026,Senior Unsecured,11.5,Semiannually,6.801113119,0.602306214,162.179,N,A3,BBB+,USD-MXGV-SEN,10.03422313,1.827387275,0,FALSE,FALSE,0.602306214,1,1,1.827387275,0.602306214,1,0
20,5/2/2016,US91086QAU22,0.005353759,100087207,MXGV,SOVRN,SV,SOVR,SOV,USD,1/15/2017,Senior Unsecured,5.625,Semiannually,0.698647764,5.181832495,102.7983,N,A3,BBB+,USD-MXGV-SEN,0.706365503,0.535375931,0,FALSE,FALSE,5.181832495,1,1,0.535375931,5.181832495,1,0
21,5/2/2016,US698299AS33,0.022504269,100086996,PAGV,SOVRN,SV,SOVR,SOV,USD,1/16/2023,Senior Unsecured,9.375,Semiannually,5.252338954,0.260721557,133.5562,N,Baa2,BBB,USD-PAGV-SEN,6.707734428,1.81111991,0,FALSE,FALSE,0.260721557,0.834866052,1,1.570797471,0.217667577,0.949870523,-0.240322439
22,5/2/2016,US698299BF03,0.018154659,100086996,PAGV,SOVRN,SV,SOVR,SOV,USD,3/17/2028,Senior Unsecured,3.875,Semiannually,9.519103655,1.877045046,102.0972,N,Baa2,BBB,USD-PAGV-SEN,11.87405886,1.596342152,0,FALSE,FALSE,1.877045046,0.834866052,1,1.356019713,1.567081187,0.949870523,-0.240322439
23,5/2/2016,US698299BE38,0.016998015,100086996,PAGV,SOVRN,SV,SOVR,SOV,USD,3/16/2025,Senior Unsecured,3.75,Semiannually,7.519880899,2.346306307,103,N,Baa2,BBB,USD-PAGV-SEN,8.87063655,1.530511499,0,FALSE,FALSE,2.346306307,0.834866052,1,1.29018906,1.958851484,0.949870523,-0.240322439
24,5/2/2016,US698299BD54,0.016888419,100086996,PAGV,SOVRN,SV,SOVR,SOV,USD,9/22/2024,Unsecured,4,Semiannually,7.115560107,2.346306307,105,N,Baa2,BBB,USD-PAGV-SEN,8.391512663,1.524043031,0,FALSE,FALSE,2.346306307,0.834866052,1,1.283720592,1.958851484,0.949870523,-0.240322439
25,5/2/2016,US698299BB98,0.023266897,100086996,PAGV,SOVRN,SV,SOVR,SOV,USD,4/29/2053,Senior Unsecured,4.3,Semiannually,17.70015809,1.407783784,96.125,N,Baa2,BBB,USD-PAGV-SEN,36.99110198,1.844446536,0,FALSE,FALSE,1.407783784,0.834866052,1,1.604124097,1.175310891,0.949870523,-0.240322439
26,5/2/2016,US698299BA16,0.024945246,100086996,PAGV,SOVRN,SV,SOVR,SOV,USD,7/25/2022,Unsecured,5.625,Semiannually,5.310008222,2.560358893,109.4487,N,Baa2,BBB,USD-PAGV-SEN,6.228610541,1.914098186,0,FALSE,FALSE,2.560358893,0.834866052,1,1.673775747,2.137556722,0.949870523,-0.240322439
