2/12/2015,4.92369698,0.018143777,4.92369698,4.903436722,4.883381851,4.863701278,4.844597026,4.826316385,4.809163541,4.793510872,4.779810188,4.7686043,4.760539438,4.756379022,4.757018652,4.763499512,4.777009339,4.798841692,4.83025154,4.872108293,4.924250421,4.984560667,5.04790488
2/13/2015,4.575136769,-0.004183584,4.575136769,4.591342588,4.605542919,4.617793908,4.628192104,4.636885777,4.644089726,4.650103451,4.655332703,4.660314545,4.665746312,4.672519037,4.681755749,4.694853222,4.71351906,4.739777774,4.775881719,4.824006518,4.885573831,4.960115068,5.043721296
2/16/2015,4.565415396,0.004277291,4.565415396,4.56692562,4.569855877,4.573913766,4.578826195,4.584352314,4.590300882,4.596553267,4.603093235,4.610044794,4.617719499,4.626674908,4.637785982,4.652330222,4.672082064,4.699395147,4.737210287,4.788853547,4.857407549,4.94444351,5.047998586
2/17/2015,4.551961297,-0.062348156,4.551961297,4.549592105,4.547515939,4.545901944,4.544864645,4.544472012,4.544758726,4.545746632,4.54747481,4.5500422,4.55366632,4.558762297,4.566047214,4.576674797,4.592402124,4.615775567,4.650281964,4.700323776,4.770749583,4.865588651,4.98565043
2/18/2015,4.365132328,-0.000455828,4.365132328,4.374332525,4.383325106,4.392179396,4.400987626,4.409853292,4.418883499,4.428187794,4.437886989,4.448136648,4.45917141,4.471378106,4.485407763,4.502338644,4.523902106,4.552772887,4.592887375,4.649657605,4.729777612,4.840132799,4.985194602
2/19/2015,4.446818904,-0.016272406,4.446818904,4.442380965,4.438842284,4.436182117,4.434398167,4.4335094,4.433556561,4.434602674,4.436737176,4.440089306,4.444858954,4.451376642,4.460208776,4.472329672,4.489386461,4.514080087,4.550655756,4.605400255,4.686836576,4.805008318,4.968922197
2/20/2015,4.403316125,0.009510529,4.403316125,4.405744894,4.407819794,4.409672603,4.411434639,4.413242076,4.415241415,4.417595102,4.420488757,4.424143795,4.428842804,4.4349802,4.443158033,4.454356774,4.470222731,4.493521993,4.528796253,4.583171586,4.667044008,4.793958712,4.978432726
2/23/2015,4.349015368,0.037982606,4.349015368,4.353750975,4.358694071,4.363811344,4.369095744,4.374567697,4.380277964,4.386312187,4.392797766,4.399915333,4.407920389,4.417186459,4.428290531,4.442175976,4.460448347,4.485882292,4.523226161,4.580333368,4.669425489,4.80779502,5.016415332
2/24/2015,4.454675707,-0.015366038,4.454675707,4.448861168,4.44354094,4.438741147,4.434486507,4.430807195,4.427746573,4.425370362,4.423778115,4.423118821,4.423615029,4.4256053,4.429624978,4.436562957,4.447960328,4.466556117,4.49722324,4.548423587,4.634121077,4.775541318,5.001049294
2/25/2015,4.436843326,-0.008528769,4.436843326,4.43701778,4.436660211,4.435848684,4.434666209,4.433202101,4.43155567,4.42984272,4.428205734,4.426829353,4.425964793,4.425971589,4.427395056,4.431117386,4.438655089,4.452731342,4.478324242,4.524437094,4.606717409,4.750504088,4.992520525
2/26/2015,4.697165671,0.003531419,4.697165671,4.684334848,4.671468267,4.658497836,4.645372062,4.632057633,4.618542096,4.604838635,4.590994264,4.577103467,4.563330942,4.549951206,4.537422154,4.526529709,4.518680257,4.516488489,4.524917663,4.553348087,4.618940513,4.751192016,4.996051944
2/27/2015,4.702602083,0.004744396,4.702602083,4.701925941,4.699963141,4.696698105,4.692104958,4.68615207,4.678807406,4.670045415,4.659856714,4.648262684,4.635338711,4.621253519,4.606340763,4.591238897,4.577177882,4.566575185,4.564250064,4.579768923,4.631576627,4.753269695,5.00079634
3/2/2015,4.524235241,-0.009932642,4.524235241,4.532623144,4.540814767,4.548614775,4.555822656,4.562231288,4.567627098,4.571792377,4.574510773,4.575577901,4.574820655,4.572132341,4.567538969,4.5613314,4.55434224,4.548540717,4.548300986,4.562996125,4.61190311,4.732381962,4.990863698
3/3/2015,4.768276807,0.017777079,4.768276807,4.757382978,4.747308311,4.737994064,4.729341392,4.721209697,4.713415018,4.705729234,4.697881225,4.689561985,4.68043727,4.670174744,4.658500351,4.645317394,4.630966565,4.616807549,4.606517813,4.608898744,4.64353985,4.751064929,5.008640777
