x,0,0.01,0.02,0.03,0.04,0.05,0.1,0.2,0.3,0.4,0.5
0,2.338201924,1.836902468,1.508232495,0.973074312,0.884996575,0.556882301,0.407860478,0.298739272,0.36421656,0.373918997,0.379611207
0.25,2.306297778,1.828689002,1.513407018,1.002876993,0.917438006,0.601364933,0.454918897,0.340939653,0.413587916,0.423223604,0.428811848
0.5,2.253418864,1.81507575,1.521983432,1.052272872,0.971207431,0.675091815,0.532914966,0.410883862,0.495417518,0.504942575,0.510358502
1,2.08192403,1.770925783,1.549798125,1.212462601,1.145583797,0.914190503,0.785843433,0.637832416,0.760785711,0.769910836,0.774738065
1.5,1.887606011,1.720900183,1.581315309,1.388632195,1.338721819,1.179226068,1.066428506,0.893550767,1.053749381,1.061750155,1.065423848
2,1.723747497,1.678702198,1.607689153,1.515946429,1.481731592,1.376300719,1.278304319,1.098441239,1.27321019,1.279785384,1.282301751
3,1.50170411,1.635881987,1.640067924,1.634575445,1.620644792,1.576109045,1.514833488,1.368475441,1.518467942,1.522670722,1.52404408
4,1.436127469,1.693409742,1.710729534,1.710496436,1.706944298,1.686142854,1.650677841,1.538834442,1.6544182,1.656709868,1.657609057
5,1.477167878,1.769528801,1.775920115,1.76461953,1.766896264,1.759103797,1.743618697,1.653521635,1.745673201,1.746370325,1.746868516
7,1.633207021,1.779713249,1.783613602,1.796834449,1.80882549,1.83652704,1.866412847,1.794841691,1.870350897,1.869702133,1.87008083
10,1.8405948,1.840518517,1.838548211,1.895436275,1.909287468,1.960619092,2.021622308,1.955726685,2.017724896,2.013634747,2.012392278
12,1.926929232,1.90345527,1.901990898,1.971144409,1.984200802,2.036481884,2.098052186,2.037631187,2.091763158,2.085460578,2.082782696
15,1.995543755,1.973765905,1.97859423,2.057970837,2.070650855,2.120121273,2.176260804,2.130417657,2.176763859,2.16897095,2.164942585
20,2.020779323,2.004184795,2.012206432,2.095675778,2.108152621,2.156265659,2.2103386,2.172762504,2.215945778,2.207724972,2.2031706
25,2.037360509,2.024255944,2.034397413,2.120559912,2.132901206,2.180124013,2.232849325,2.20075528,2.241849776,2.233348175,2.228447029
30,2.051085484,2.040869715,2.052765862,2.141157602,2.153386697,2.19987262,2.251482441,2.22392613,2.263291653,2.254557625,2.249369439
40,2.072873566,2.067243694,2.081925352,2.173855961,2.185906941,2.231223079,2.281062083,2.260709321,2.297330139,2.288227138,2.282583284
