,Earnings Yield,Value,Leverage,Growth,Profitability,Dividend Yield,Size,Liquidity,Market Sensitivity,Volatility,Medium-Term Momentum,MidCap,Exchange Rate Sensitivity,Software,Communications Equipment,"Technology Hardware, Storage & Peripherals","Electronic Equipment, Instruments & Components",Semiconductors & Semiconductor Equipment,Diversified Telecommunication Services,Wireless Telecommunication Services,Electric Utilities,Gas Utilities,Multi-Utilities,Water Utilities,Independent Power and Renewable Electricity Producers,Equity Real Estate Investment Trusts (REITs),Real Estate Management & Development,Energy Equipment & Services,"Oil, Gas & Consumable Fuels",Chemicals,Construction Materials,Containers & Packaging,Metals & Mining,Paper & Forest Products,Aerospace & Defense,Building Products,Construction & Engineering,Electrical Equipment,Industrial Conglomerates,Machinery,Trading Companies & Distributors,Commercial Services & Supplies,Professional Services,Air Freight & Logistics,Airlines,Marine,Road & Rail,Transportation Infrastructure,Auto Components,Automobiles,Household Durables,Leisure Products,"Textiles, Apparel & Luxury Goods","Hotels, Restaurants & Leisure",Diversified Consumer Services,Media,Distributors,Internet & Direct Marketing Retail,Multiline Retail,Specialty Retail,Food & Staples Retailing,Beverages,Food Products,Tobacco,Household Products,Personal Products,Health Care Equipment & Supplies,Health Care Providers & Services,Health Care Technology,Biotechnology,Pharmaceuticals,Life Sciences Tools & Services,Banks,Thrifts & Mortgage Finance,Diversified Financial Services,Consumer Finance,Capital Markets,Mortgage Real Estate Investment Trusts (REITs),Insurance,Internet Software & Services,IT Services,Market Intercept,estu,rets,mcap
111111118,-0.163155302405,0.117199383676,-0.489672631025,-1.01640963554,0.075946226716,-0.21755874157,-0.460843592882,0.787431538105,0.727431952953,-0.0681707933545,0.0519454814494,1.0,-0.204684600234,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,-0.00997047483472,7466584851.26
11869BRC8,-0.179554104805,0.0491748638451,0.145739525557,0.152308106422,0.0374240279198,2.89969158173,-0.91261613369,-4.32072401047,0.478663593531,-0.985850155354,-0.127458706498,,0.00966505892575,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,1.0,,0.0,1407900536.62
11D7GQAK9,-2.49567890167,1.36684310436,-0.0213929135352,0.475157916546,-1.68986618519,-1.1303576231,-3.37891173363,1.2185652256,0.911499857903,-0.14986564219,-2.8710205555,,0.75666642189,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,0.0,59.0540008509
11MSJC3A1,0.526857793331,0.683075010777,-0.275175511837,-0.0088300453499,-0.31674182415,-0.076535359025,-0.224763929844,-4.32072401047,-0.572343945503,1.59011113644,-0.083269238472,,-0.233208432794,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,1.0,,-0.0101651716666,18176664070.0
11NJGF6V7,0.347329378128,0.436904668808,0.213685333729,-0.937738418579,-0.205407068133,0.468021571636,-0.225515991449,-4.32072401047,0.713439881802,0.0466580428183,0.0169289391488,,-1.14623355865,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,0.0,18451088004.3
11NSZA7T1,-0.128665626049,-1.6003639698,2.35500311852,-0.123666584492,0.277053326368,-1.1303576231,-0.894471943378,-1.63578617573,-0.0879675373435,0.37342146039,-0.459482192993,,0.160173013806,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,1.0,1.0,-0.00175435919511,1493568140.05
11STQQNH7,0.357607275248,2.38904523849,-0.300001978874,-0.0608514733613,0.00807897280902,1.48228776455,-1.85546457767,-4.32072401047,-1.18398976326,1.0622074604,-0.172281458974,,0.799738526344,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,0.151515151515,48820500.0
11VTZ6XP8,-1.18775951862,-0.398030877113,-1.00014400482,1.36690473557,-0.987347722054,-1.1303576231,-0.673305988312,0.559368848801,0.784959852695,1.82206273079,-0.261102765799,1.0,0.640190780163,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,1.0,1.0,-0.0202831533226,3035545645.23
11W3J2YM7,-2.49567890167,3.86009526253,-1.02230453491,-1.91841804981,-3.10508799553,-1.1303576231,-1.50696611404,-0.259128153324,1.0809687376,1.47900724411,-1.20542347431,,-0.0830952301621,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,1.0,,-0.0192307515963,139844547.385
11WQ6Q2Q3,-1.58453416824,-0.235585525632,-1.02230453491,-2.09797501564,-1.80892717838,-1.1303576231,-1.31421220303,-0.0658237859607,0.68893301487,1.43942439556,-0.938437700272,,0.0355230085552,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,-0.0128440506961,283041795.986
