,Earnings Yield,Value,Leverage,Growth,Profitability,Dividend Yield,Size,Liquidity,Market Sensitivity,Volatility,Medium-Term Momentum,MidCap,Exchange Rate Sensitivity,Software,Communications Equipment,"Technology Hardware, Storage & Peripherals","Electronic Equipment, Instruments & Components",Semiconductors & Semiconductor Equipment,Diversified Telecommunication Services,Wireless Telecommunication Services,Electric Utilities,Gas Utilities,Multi-Utilities,Water Utilities,Independent Power and Renewable Electricity Producers,Equity Real Estate Investment Trusts (REITs),Real Estate Management & Development,Energy Equipment & Services,"Oil, Gas & Consumable Fuels",Chemicals,Construction Materials,Containers & Packaging,Metals & Mining,Paper & Forest Products,Aerospace & Defense,Building Products,Construction & Engineering,Electrical Equipment,Industrial Conglomerates,Machinery,Trading Companies & Distributors,Commercial Services & Supplies,Professional Services,Air Freight & Logistics,Airlines,Marine,Road & Rail,Transportation Infrastructure,Auto Components,Automobiles,Household Durables,Leisure Products,"Textiles, Apparel & Luxury Goods","Hotels, Restaurants & Leisure",Diversified Consumer Services,Media,Distributors,Internet & Direct Marketing Retail,Multiline Retail,Specialty Retail,Food & Staples Retailing,Beverages,Food Products,Tobacco,Household Products,Personal Products,Health Care Equipment & Supplies,Health Care Providers & Services,Health Care Technology,Biotechnology,Pharmaceuticals,Life Sciences Tools & Services,Banks,Thrifts & Mortgage Finance,Diversified Financial Services,Consumer Finance,Capital Markets,Mortgage Real Estate Investment Trusts (REITs),Insurance,Internet Software & Services,IT Services,Market Intercept,estu,rets,mcap
1155ZVG65,0.0610747225583,0.0696513578296,0.345193684101,0.298422247171,-0.2838986516,-1.39879512787,-0.341333866119,0.497847855091,0.561072289944,-0.16707290709,0.612336099148,1.0,1.72760999203,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,1.0,1.0,0.0259067357513,1920476448.0
11DGZLBH5,0.505180954933,0.437435716391,-0.629519343376,0.392305195332,-0.100302413106,-1.39879512787,-1.43964838982,0.983632206917,-0.5435552001,2.44612979889,-1.89276778698,,-1.86262702942,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,1.0,,0.173913043478,51468750.0
11JMZFSN8,-1.46159183979,-0.745078623295,-1.11902093887,-2.40304422379,-3.50127506256,-1.39879512787,-1.07525396347,1.36589682102,-1.10881054401,1.29378473759,2.18660259247,,0.601496696472,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,1.0,,-0.0320512820513,176651125.0
11JS8VT41,-0.0731478855014,-0.236860901117,0.588803470135,0.0177017319947,0.123933784664,-1.39879512787,-0.729727089405,0.820915877819,0.186520293355,0.387273222208,1.610709548,,0.214070320129,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,1.0,1.0,-0.0625,491610000.0
11XCHW528,-3.15213537216,-1.58854925632,3.95601773262,-2.30189394951,-2.82283878326,-1.39879512787,-2.00444412231,-4.27438926697,1.00948870182,-0.79331099987,-0.386236846447,,-0.234405234456,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,1.0,,0.0,6823125.0
122JHRL77,1.68815088272,1.49413359165,3.51240324974,-2.17851018906,-0.102329194546,0.973862946033,-1.10853934288,0.311019748449,0.0111683607101,-0.0613086596131,-0.750649452209,,-0.389276891947,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,0.0275229357798,36176000.0
126PHM1C1,-1.18398308754,1.20850265026,-1.11902093887,-2.44875359535,-1.15981447697,-1.39879512787,-2.24889659882,-0.302781164646,4.52112913132,3.47987532616,-0.205854728818,,3.12826180458,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,3.03225806452,9266750.0
12AYRWGZ7,-3.15213537216,-3.1415822506,0.952124118805,-2.79026889801,-1.31067824364,-1.39879512787,-0.914304435253,-0.131214663386,0.571685731411,0.0773477181792,-0.774708092213,,0.744277358055,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,0.0121457489879,271843750.0
12G4RRX55,-3.15213537216,0.869580149651,-0.461336016655,-1.36539542675,-1.7338629961,-1.39879512787,-2.20724272728,0.877793490887,-0.46757465601,2.8697617054,3.57091522217,,-0.479613393545,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,-0.0555555555556,2856000.0
12QFRGTG4,-0.295684367418,-0.239827305079,-0.836900830269,0.788408398628,0.112775556743,-1.39879512787,-1.0906444788,1.4570299387,1.3345528841,1.18242800236,-0.728933990002,,0.1129636392,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,-0.0727272727273,165087000.0
