,Earnings Yield,Value,Leverage,Growth,Profitability,Dividend Yield,Size,Liquidity,Market Sensitivity,Volatility,Medium-Term Momentum,MidCap,Exchange Rate Sensitivity,Software,Communications Equipment,"Technology Hardware, Storage & Peripherals","Electronic Equipment, Instruments & Components",Semiconductors & Semiconductor Equipment,Diversified Telecommunication Services,Wireless Telecommunication Services,Electric Utilities,Gas Utilities,Multi-Utilities,Water Utilities,Independent Power and Renewable Electricity Producers,Equity Real Estate Investment Trusts (REITs),Real Estate Management & Development,Energy Equipment & Services,"Oil, Gas & Consumable Fuels",Chemicals,Construction Materials,Containers & Packaging,Metals & Mining,Paper & Forest Products,Aerospace & Defense,Building Products,Construction & Engineering,Electrical Equipment,Industrial Conglomerates,Machinery,Trading Companies & Distributors,Commercial Services & Supplies,Professional Services,Air Freight & Logistics,Airlines,Marine,Road & Rail,Transportation Infrastructure,Auto Components,Automobiles,Household Durables,Leisure Products,"Textiles, Apparel & Luxury Goods","Hotels, Restaurants & Leisure",Diversified Consumer Services,Media,Distributors,Internet & Direct Marketing Retail,Multiline Retail,Specialty Retail,Food & Staples Retailing,Beverages,Food Products,Tobacco,Household Products,Personal Products,Health Care Equipment & Supplies,Health Care Providers & Services,Health Care Technology,Biotechnology,Pharmaceuticals,Life Sciences Tools & Services,Banks,Thrifts & Mortgage Finance,Diversified Financial Services,Consumer Finance,Capital Markets,Mortgage Real Estate Investment Trusts (REITs),Insurance,Internet Software & Services,IT Services,Market Intercept,estu,rets,mcap
1155ZVG65,0.0601261742413,0.0686657875776,0.344499647617,0.298713862896,-0.28405547142,-1.39681375027,-0.34126457572,0.501006007195,0.554750621319,-0.172520175576,0.602113366127,1.0,1.72728323936,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,1.0,1.0,0.0,1920476448.0
11DGZLBH5,0.507372975349,0.439765483141,-0.629597246647,0.393107384443,-0.100119166076,-1.39681375027,-1.44034361839,0.988019227982,-0.540088415146,2.47685241699,-1.91932785511,,-1.80779564381,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,1.0,,-0.0185185185185,50515625.0
11JMZFSN8,-1.4569092989,-0.746009349823,-1.11884474754,-2.4032330513,-3.50589513779,-1.39681375027,-1.07370495796,1.37908041477,-1.10765206814,1.30065202713,2.20451998711,,0.604509413242,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,1.0,,-0.0529801324503,167292125.0
11JS8VT41,-0.0758448690176,-0.238942041993,0.587982356548,0.0180004853755,0.12421117723,-1.39681375027,-0.729021966457,0.808957576752,0.176476672292,0.399895608425,1.63729667664,,0.213881537318,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,1.0,1.0,0.0166666666667,499803500.0
11XCHW528,-3.15189695358,-1.5882267952,3.95471906662,-2.30195045471,-2.82827067375,-1.39681375027,-2.00480699539,-4.27014684677,0.970880329609,-0.795022904873,-0.388254612684,,-0.261061817408,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,1.0,,0.0,6823125.0
122JHRL77,1.68249332905,1.48875260353,3.511272192,-2.17854619026,-0.102530650795,0.966551482677,-1.1081520319,0.300589203835,0.00986407231539,-0.0580889768898,-0.757537186146,,-0.389362335205,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,0.0,36176000.0
126PHM1C1,-1.13269746304,0.982403337955,-1.11884474754,-2.44881701469,-1.16047108173,-1.39681375027,-2.21657705307,-0.373482465744,4.5285692215,3.46442365646,-0.203796207905,,3.12395787239,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,0.0,9266750.0
12AYRWGZ7,-3.15189695358,-3.14431524277,0.951440989971,-2.79038715363,-1.31166708469,-1.39681375027,-0.915072381496,-0.132041364908,0.568019628525,0.0692979022861,-0.792906999588,,0.744040250778,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,0.004,272931125.0
12G4RRX55,-3.15189695358,0.89326685667,-0.461503535509,-1.36533772945,-1.73669600487,-1.39681375027,-2.21123790741,0.887097775936,-0.300657689571,2.85354399681,3.59295392036,,-0.511664390564,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,0.0,2856000.0
12QFRGTG4,-0.295653402805,-0.239872470498,-0.836865127087,0.788489282131,0.112653329968,-1.39681375027,-1.09074926376,1.45517730713,1.33520245552,1.17552232742,-0.771039009094,,0.147786021233,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,-0.078431372549,152139000.0
