,Earnings Yield,Value,Leverage,Growth,Profitability,Dividend Yield,Size,Liquidity,Market Sensitivity,Volatility,Medium-Term Momentum,MidCap,Exchange Rate Sensitivity,Software,Communications Equipment,"Technology Hardware, Storage & Peripherals","Electronic Equipment, Instruments & Components",Semiconductors & Semiconductor Equipment,Diversified Telecommunication Services,Wireless Telecommunication Services,Electric Utilities,Gas Utilities,Multi-Utilities,Water Utilities,Independent Power and Renewable Electricity Producers,Equity Real Estate Investment Trusts (REITs),Real Estate Management & Development,Energy Equipment & Services,"Oil, Gas & Consumable Fuels",Chemicals,Construction Materials,Containers & Packaging,Metals & Mining,Paper & Forest Products,Aerospace & Defense,Building Products,Construction & Engineering,Electrical Equipment,Industrial Conglomerates,Machinery,Trading Companies & Distributors,Commercial Services & Supplies,Professional Services,Air Freight & Logistics,Airlines,Marine,Road & Rail,Transportation Infrastructure,Auto Components,Automobiles,Household Durables,Leisure Products,"Textiles, Apparel & Luxury Goods","Hotels, Restaurants & Leisure",Diversified Consumer Services,Media,Distributors,Internet & Direct Marketing Retail,Multiline Retail,Specialty Retail,Food & Staples Retailing,Beverages,Food Products,Tobacco,Household Products,Personal Products,Health Care Equipment & Supplies,Health Care Providers & Services,Health Care Technology,Biotechnology,Pharmaceuticals,Life Sciences Tools & Services,Banks,Thrifts & Mortgage Finance,Diversified Financial Services,Consumer Finance,Capital Markets,Mortgage Real Estate Investment Trusts (REITs),Insurance,Internet Software & Services,IT Services,Market Intercept,estu,rets,mcap
111111118,-0.162242621183,0.11496745795,-0.489151120186,-1.01727437973,0.0754371806979,-0.220271348953,-0.460074901581,0.744903028011,0.717383742332,-0.0542247593403,0.0332992076874,1.0,-0.244436919689,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,-0.0145534479533,7543172245.03
11869BRC8,-0.181355923414,0.0496499091387,0.146078303456,0.148956567049,0.0368573181331,2.89737892151,-0.911430954933,-4.29277181625,0.466918587685,-0.965412020683,-0.139874920249,,0.00860765948892,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,1.0,,0.0,1407900536.62
11D7GQAK9,-2.50309109688,1.36585092545,-0.0220139008015,0.465652108192,-1.70079636574,-1.13533902168,-3.37667965889,1.20097315311,0.906151950359,-0.169340088964,-2.94739174843,,0.74130398035,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,0.0,59.0540008509
11MSJC3A1,0.522316455841,0.684756398201,-0.273753196001,-0.0104720294476,-0.315101087093,-0.0828702673316,-0.222948625684,-4.29277181625,-0.597066164017,1.67137336731,-0.00964765902609,,-0.206488341093,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,1.0,,0.0120711885381,18584997701.0
11NJGF6V7,0.344020336866,0.441247016191,0.2141803056,-0.942119300365,-0.205553591251,0.483613878489,-0.2265702039,-4.29277181625,0.695204555988,0.111710183322,-0.0175071395934,,-1.13411259651,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,0.0227670951966,18954152655.2
11NSZA7T1,-0.128981873393,-1.58933639526,2.35279011726,-0.124287895858,0.276553571224,-1.13533902168,-0.89270222187,-1.6692044735,-0.136664882302,0.462825059891,-0.403463155031,,0.152859896421,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,1.0,1.0,-0.00347827413808,1504067679.97
11STQQNH7,0.366954982281,2.42388319969,-0.299682021141,-0.0617549568415,0.00789862964302,1.52560341358,-1.8591581583,-4.29277181625,-1.17616891861,1.05492973328,-0.201666653156,,0.822697877884,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,-0.0179641395631,42139799.0198
11VTZ6XP8,-1.16540551186,-0.405315518379,-0.999413013458,1.36671280861,-0.986617028713,-1.13533902168,-0.666860759258,0.520470678806,0.787218987942,1.8417443037,-0.266936779022,1.0,0.592639088631,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,1.0,1.0,0.0102292417734,3396016567.63
11W3J2YM7,-2.51491880417,3.86579179764,-1.02155888081,-1.918664217,-3.10594272614,-1.13533902168,-1.50424027443,-0.291711121798,1.08427143097,1.42309474945,-1.34393799305,,0.0382874496281,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,1.0,,-0.0188679958247,142586594.77
11WQ6Q2Q3,-1.5512830019,-0.246275737882,-1.02155888081,-2.09818410873,-1.80845713615,-1.13533902168,-1.30834472179,-0.0958419665694,0.632943570614,1.55729651451,-0.906224727631,,0.00288333487697,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,0.00178888142024,294616000.0
