,Earnings Yield,Value,Leverage,Growth,Profitability,Dividend Yield,Size,Liquidity,Market Sensitivity,Volatility,Medium-Term Momentum,MidCap,Exchange Rate Sensitivity,Software,Communications Equipment,"Technology Hardware, Storage & Peripherals","Electronic Equipment, Instruments & Components",Semiconductors & Semiconductor Equipment,Diversified Telecommunication Services,Wireless Telecommunication Services,Electric Utilities,Gas Utilities,Multi-Utilities,Water Utilities,Independent Power and Renewable Electricity Producers,Equity Real Estate Investment Trusts (REITs),Real Estate Management & Development,Energy Equipment & Services,"Oil, Gas & Consumable Fuels",Chemicals,Construction Materials,Containers & Packaging,Metals & Mining,Paper & Forest Products,Aerospace & Defense,Building Products,Construction & Engineering,Electrical Equipment,Industrial Conglomerates,Machinery,Trading Companies & Distributors,Commercial Services & Supplies,Professional Services,Air Freight & Logistics,Airlines,Marine,Road & Rail,Transportation Infrastructure,Auto Components,Automobiles,Household Durables,Leisure Products,"Textiles, Apparel & Luxury Goods","Hotels, Restaurants & Leisure",Diversified Consumer Services,Media,Distributors,Internet & Direct Marketing Retail,Multiline Retail,Specialty Retail,Food & Staples Retailing,Beverages,Food Products,Tobacco,Household Products,Personal Products,Health Care Equipment & Supplies,Health Care Providers & Services,Health Care Technology,Biotechnology,Pharmaceuticals,Life Sciences Tools & Services,Banks,Thrifts & Mortgage Finance,Diversified Financial Services,Consumer Finance,Capital Markets,Mortgage Real Estate Investment Trusts (REITs),Insurance,Internet Software & Services,IT Services,Market Intercept,estu,rets,mcap
111111118,-0.162477582693,0.115994073451,-0.489418625832,-1.01668739319,0.0759420990944,-0.219107568264,-0.460455596447,0.778995811939,0.724802613258,-0.0648680999875,0.0455351658165,1.0,-0.207591816783,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,0.00556998205832,7541779978.75
11869BRC8,-0.179929003119,0.0497910752892,0.145972698927,0.150561526418,0.0379472263157,2.90091848373,-0.911983788013,-4.31691598892,0.472769647837,-0.982343614101,-0.130650594831,,0.00881602056324,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,1.0,,0.0,1407900536.62
11D7GQAK9,-2.5014936924,1.36637067795,-0.0216703396291,0.467953979969,-1.69293057919,-1.13356471062,-3.38052177429,1.21265506744,0.908372282982,-0.154565155506,-2.89215779305,,0.755696058273,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,0.0,59.0540008509
11MSJC3A1,0.518290698528,0.682400584221,-0.274609386921,-0.00943779107183,-0.315852105618,-0.0800497308373,-0.223839268088,-4.31691598892,-0.581533551216,1.6187261343,-0.0628264471889,,-0.234657347202,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,1.0,,0.0,18363330476.7
11NJGF6V7,0.346215963364,0.437958151102,0.213101223111,-0.939127147198,-0.205325528979,0.471910834312,-0.225849226117,-4.31691598892,0.708000361919,0.0679143294692,0.00435831770301,,-1.14635539055,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,0.0,18451088004.3
11NSZA7T1,-0.128594249487,-1.59551048279,2.3531088829,-0.123645231128,0.27720874548,-1.13356471062,-0.893619596958,-1.66182911396,-0.105101801455,0.40422937274,-0.441372364759,,0.158744633198,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,1.0,1.0,-0.00349651678797,1496193000.0
11STQQNH7,0.364624291658,2.41677808762,-0.299875974655,-0.061093121767,0.00852852407843,1.51303076744,-1.85788571835,-4.31691598892,-1.1843290329,1.06045460701,-0.18892981112,,0.809065103531,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,0.00609758437779,42396750.0
11VTZ6XP8,-1.17636179924,-0.401033788919,-0.999366044998,1.36744725704,-0.986493110657,-1.13356471062,-0.670621395111,0.543416202068,0.789555311203,1.82259321213,-0.258501946926,1.0,0.630791962147,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,1.0,1.0,-0.0400440918473,3098390780.49
11W3J2YM7,-2.5043053627,3.85624527931,-1.02150678635,-1.91817760468,-3.10473775864,-1.13356471062,-1.50557994843,-0.242391675711,1.07758104801,1.46208322048,-1.25396382809,,-0.086940176785,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,1.0,,-0.0370370893648,142586594.77
11WQ6Q2Q3,-1.56471896172,-0.241824328899,-1.02150678635,-2.09771299362,-1.80831420422,-1.13356471062,-1.31075167656,-0.0903329998255,0.670793473721,1.4782075882,-0.925541937351,,0.0314842946827,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,-0.0302491234851,286724500.0
126K85ZW8,-0.0656074658036,-0.035808570683,0.00637504039332,-0.0840560346842,0.0812631696463,0.502752363682,-0.561316668987,-4.31691598892,0.466125071049,-0.122406125069,-0.938800811768,1.0,0.432741701603,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,0.0,4995983074.97
12AQ81G26,-1.54870963097,1.27061569691,-0.1266836375,-1.89134478569,-0.979143261909,-0.951095104218,0.000536324165296,0.410538285971,2.93115520477,0.367510795593,3.89264059067,,-4.44319534302,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,-0.00724640435417,13885826606.7
12T27N284,-2.5043053627,-0.176210999489,-1.01659429073,0.607787907124,-2.39357471466,-1.13356471062,-1.2627248764,0.222579106688,2.48507666588,1.23595833778,-1.41402196884,,-1.1479113102,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,1.0,1.0,-0.0274790376799,349067634.723
12TL9D449,-0.289449423552,-0.273159861565,-0.1665366292,1.63285112381,0.831540584564,-1.13356471062,-0.944012880325,0.777545154095,1.32354319096,0.00835272390395,0.014592227526,,2.17462801933,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,-0.0212514225173,1249468823.0
12YBXVNC9,-0.66335105896,1.013697505,-0.899831056595,-1.60579490662,-1.59978985786,-1.13356471062,-1.23945462704,-0.245750918984,1.6257686615,0.561907887459,0.268724769354,,1.31993222237,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,1.0,1.0,0.00253806860864,437020105.276
12YMGRPA5,0.767940104008,0.566963791847,-0.446165680885,-0.512409448624,0.456010401249,-1.13356471062,-2.18530774117,-4.31691598892,1.24127078056,2.75678515434,-1.11468660831,,1.61693751812,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,0.227586263595,16424772.286
133SGM4G5,0.0341104529798,0.884589076042,-0.673147797585,0.60714662075,-0.0539502091706,-1.13356471062,-1.50501692295,0.480165332556,1.8570638895,0.394946604967,-1.18816804886,,2.02806138992,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,1.0,1.0,-0.0600000108991,144259918.327
137XGGKM2,0.18184967339,-0.155376762152,0.172097176313,0.101100996137,0.307676821947,0.164442375302,-0.202970504761,-4.31691598892,0.114091590047,-0.180417716503,0.00989334750921,,-1.30424082279,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,-0.00200274213709,19701277916.4
138B8SM16,0.13129080832,0.45784753561,-0.840235471725,0.030504796654,-0.426932364702,0.355304330587,-0.554713129997,0.293663471937,1.05129683018,-0.38843241334,1.03715479374,1.0,-0.151143789291,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,1.0,1.0,0.00114036345463,5527258457.64
13ATGHUB8,-0.24446298182,1.02803635597,-0.318619966507,0.0738858357072,-0.770251750946,3.17785620689,-1.41827762127,-0.805111289024,-0.692230284214,-0.199699983001,0.189388602972,,-0.0424009896815,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,1.0,,0.00874316142528,215695859.303
13AXQXUT4,-2.5043053627,3.85624527931,0.837323665619,-1.56212496758,-0.983588039875,-1.13356471062,-1.48432862759,-4.31691598892,-0.528835773468,-0.797592699528,-0.164233595133,,0.591431856155,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,0.0,166163998.604
13C7QS188,-0.140306890011,0.324286997318,-0.626177847385,-0.613783359528,-0.149863958359,-0.273278534412,-1.36864650249,-0.628612935543,-0.880172729492,0.555201232433,1.75280368328,,-0.33809658885,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,1.0,1.0,-0.00422539509518,254767439.003
13M96LVM6,-2.5043053627,3.85624527931,-1.0029348135,-0.669851779938,-1.77416431904,-1.13356471062,-2.54392409325,-1.56519758701,-0.043488856405,4.11024332047,-1.99966549873,,1.67307782173,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,0.0,3080550.12241
13MJQGWK6,-1.51050388813,1.74601924419,-0.410042345524,0.246972471476,-1.71416783333,-1.13356471062,-3.38052177429,-4.31691598892,0.834829628468,-0.0908851698041,-2.82420301437,,2.28190159798,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,1.0,,0.0,20159.9995494
13MXHSXY8,-2.14004659653,3.85624527931,-0.000907388806809,-1.50652801991,0.365383267403,-0.220349669456,-1.12387514114,1.58793520927,3.1701130867,1.44245457649,-1.15870380402,,-0.95732486248,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,-0.013789867145,727870291.967
13RKFWB85,-1.07583343983,0.465816140175,0.177506357431,-0.0711146220565,-0.737773358822,-1.13356471062,-2.32267403603,-4.31691598892,-2.04611992836,4.11024332047,2.88782858849,,-1.82923030853,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,0.0144927833567,6067320.02583
13S3HND47,0.0937706753612,0.318267136812,-0.384460002184,-0.236602351069,-0.455919235945,0.235406816006,-0.858536601067,-0.617942214012,0.0617182254791,0.0814751461148,1.08023953438,,0.958691954613,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,1.0,1.0,0.0,1768843752.73
13VQFRSD9,-0.639514565468,0.218375876546,0.209013476968,-0.130765914917,-0.412469208241,-1.13356471062,-1.46757698059,-4.31691598892,-0.0450650937855,4.11024332047,-1.10525417328,,-1.10318052769,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,0.0,186607644.796
13W482TT4,-1.35613441467,0.696060478687,-0.0868154987693,0.0923782065511,-0.880908787251,-1.13356471062,-3.09048938751,-4.31691598892,0.831923663616,0.922643780708,3.89264059067,,1.03660655022,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,0.0,302279.998362
13ZVFM7K2,-2.5043053627,0.648298621178,0.370088517666,-1.67612493038,-1.23229515553,-0.737576842308,-0.389205425978,-3.26779103279,1.39454841614,1.01479423046,3.85115408897,1.0,-1.35325038433,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,-0.000757019595233,9783490058.63
141JRT9W8,0.0878526642919,-0.411102175713,-0.524452030659,-0.127834349871,0.48722282052,0.3968744874,-0.54673987627,1.10987722874,0.806807816029,0.750909984112,-0.29313993454,1.0,-0.754885077477,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,-0.00969079144583,5172129125.07
